Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	1.66327   	0.001000	1.66327   	0.001000	1.3577    	0.001000	1.3577    	0.001000	1.02181   	0.001000	0.641461  	
0.002000	1.80436   	0.002000	1.80436   	0.002000	1.49213   	0.002000	1.49213   	0.002000	1.32513   	0.002000	0.47923   	
0.005000	2.1584    	0.005000	2.1584    	0.005000	1.89146   	0.005000	1.89146   	0.005000	1.86847   	0.005000	0.289933  	
0.008000	2.44375   	0.008000	2.44375   	0.008000	2.24094   	0.008000	2.24094   	0.008000	2.22859   	0.008000	0.215155  	
0.010000	2.60841   	0.010000	2.60841   	0.010000	2.4502    	0.010000	2.4502    	0.010000	2.4231    	0.010000	0.185306  	
0.015000	3.00493   	0.015000	3.00493   	0.015000	2.81545   	0.015000	2.81545   	0.015000	2.86651   	0.015000	0.138423  	
0.020000	3.39342   	0.020000	3.39342   	0.020000	3.13624   	0.020000	3.13624   	0.020000	3.28093   	0.020000	0.112492  	
0.025000	3.75648   	0.025000	3.75648   	0.025000	3.44712   	0.025000	3.44712   	0.025000	3.6611    	0.025000	0.0953773 	
0.030000	4.09723   	0.030000	4.09723   	0.030000	3.79205   	0.030000	3.79205   	0.030000	4.01409   	0.030000	0.0831465 	
0.035000	4.41698   	0.035000	4.41698   	0.035000	4.11903   	0.035000	4.11903   	0.035000	4.34306   	0.035000	0.0739248 	
0.040000	4.71648   	0.040000	4.71648   	0.040000	4.42799   	0.040000	4.42799   	0.040000	4.64979   	0.040000	0.0666976 	
0.045000	4.99634   	0.045000	4.99634   	0.045000	4.7189    	0.045000	4.7189    	0.045000	4.93547   	0.045000	0.0608654 	
0.050000	5.25708   	0.050000	5.25708   	0.050000	4.99185   	0.050000	4.99185   	0.050000	5.20103   	0.050000	0.0560498 	
0.055000	5.49926   	0.055000	5.49926   	0.055000	5.247     	0.055000	5.247     	0.055000	5.44726   	0.055000	0.0519995 	
0.060000	5.72343   	0.060000	5.72343   	0.060000	5.48463   	0.060000	5.48463   	0.060000	5.67489   	0.060000	0.0485409 	
0.070000	6.12029   	0.070000	6.12029   	0.070000	5.90892   	0.070000	5.90892   	0.070000	6.07735   	0.070000	0.0429347 	
0.080000	6.45312   	0.080000	6.45312   	0.080000	6.26878   	0.080000	6.26878   	0.080000	6.41454   	0.080000	0.0385745 	
0.090000	6.73333   	0.090000	6.73333   	0.090000	6.5694    	0.090000	6.5694    	0.090000	6.69825   	0.090000	0.0350778 	
0.100000	6.96957   	0.100000	6.96957   	0.100000	6.81662   	0.100000	6.81662   	0.100000	6.93737   	0.100000	0.0322055 	
0.120000	7.30689   	0.120000	7.30689   	0.120000	7.17521   	0.120000	7.17521   	0.120000	7.27913   	0.120000	0.0277543 	
0.140000	7.50384   	0.140000	7.50384   	0.140000	7.39145   	0.140000	7.39145   	0.140000	7.47939   	0.140000	0.0244535 	
0.160000	7.59128   	0.160000	7.59128   	0.160000	7.5057    	0.160000	7.5057    	0.160000	7.56938   	0.160000	0.0219001 	
0.180000	7.58722   	0.180000	7.58722   	0.180000	7.54971   	0.180000	7.54971   	0.180000	7.56736   	0.180000	0.0198614 	
0.200000	7.54777   	0.200000	7.54777   	0.200000	7.54703   	0.200000	7.54703   	0.200000	7.52957   	0.200000	0.018193  	
0.250000	7.37596   	0.250000	7.37596   	0.250000	7.43329   	0.250000	7.43329   	0.250000	7.36087   	0.250000	0.0150928 	
0.300000	7.28478   	0.300000	7.28478   	0.300000	7.26405   	0.300000	7.26405   	0.300000	7.27184   	0.300000	0.0129438 	
0.350000	7.20893   	0.350000	7.20893   	0.350000	7.09038   	0.350000	7.09038   	0.350000	7.19757   	0.350000	0.0113604 	
0.400000	7.08156   	0.400000	7.08156   	0.400000	6.93892   	0.400000	6.93892   	0.400000	7.07142   	0.400000	0.0101417 	
0.450000	6.9494    	0.450000	6.9494    	0.450000	6.84277   	0.450000	6.84277   	0.450000	6.94023   	0.450000	0.00917267	
0.500000	6.85696   	0.500000	6.85696   	0.500000	6.74028   	0.500000	6.74028   	0.500000	6.84858   	0.500000	0.00838249	
0.600000	6.68293   	0.600000	6.68293   	0.600000	6.52873   	0.600000	6.52873   	0.600000	6.67576   	0.600000	0.00716868	
0.700000	6.50999   	0.700000	6.50999   	0.700000	6.30148   	0.700000	6.30148   	0.700000	6.50371   	0.700000	0.0062774 	
0.800000	6.32683   	0.800000	6.32683   	0.800000	6.08186   	0.800000	6.08186   	0.800000	6.32123   	0.800000	0.0055934 	
0.900000	6.14683   	0.900000	6.14683   	0.900000	5.87443   	0.900000	5.87443   	0.900000	6.14178   	0.900000	0.00505084	
1.000000	5.97035   	1.000000	5.97035   	1.000000	5.67837   	1.000000	5.67837   	1.000000	5.96574   	1.000000	0.0046093 	
1.250000	5.51175   	1.250000	5.51175   	1.250000	5.22593   	1.250000	5.22593   	1.250000	5.50796   	1.250000	0.00379511	
1.500000	5.05296   	1.500000	5.05296   	1.500000	4.81905   	1.500000	4.81905   	1.500000	5.04972   	1.500000	0.0032359 	
1.750000	4.66698   	1.750000	4.66698   	1.750000	4.47579   	1.750000	4.47579   	1.750000	4.66415   	1.750000	0.00282676	
2.000000	4.30863   	2.000000	4.30863   	2.000000	4.17976   	2.000000	4.17976   	2.000000	4.30612   	2.000000	0.00251368	
2.250000	4.00539   	2.250000	4.00539   	2.250000	3.92095   	2.250000	3.92095   	2.250000	4.00313   	2.250000	0.00226596	
2.500000	3.67482   	2.500000	3.74962   	2.500000	3.69247   	2.500000	3.69247   	2.500000	3.74755   	2.500000	0.00206478	
3.000000	3.27854   	3.000000	3.33683   	3.000000	3.30727   	3.000000	3.30727   	3.000000	3.33508   	3.000000	0.0017573 	
3.500000	2.96179   	3.500000	3.01261   	3.500000	2.99529   	3.500000	2.99529   	3.500000	3.01108   	3.500000	0.00153282	
4.000000	2.70307   	4.000000	2.75037   	4.000000	2.73774   	4.000000	2.73774   	4.000000	2.74901   	4.000000	0.00136135	
4.500000	2.48784   	4.500000	2.53307   	4.500000	2.52168   	4.500000	2.52168   	4.500000	2.53185   	4.500000	0.00122588	
5.000000	2.30598   	5.000000	2.34939   	5.000000	2.33794   	5.000000	2.33794   	5.000000	2.34827   	5.000000	0.001116  	
5.500000	2.15027   	5.500000	2.19173   	5.500000	2.1798    	5.500000	2.1798    	5.500000	2.1907    	5.500000	0.001025  	
6.000000	2.01542   	6.000000	2.05475   	6.000000	2.04228   	6.000000	2.04228   	6.000000	2.0538    	6.000000	0.000948328	
6.500000	1.89746   	6.500000	1.93455   	6.500000	1.9216    	6.500000	1.9216    	6.500000	1.93367   	6.500000	0.000882807	
7.000000	1.79339   	7.000000	1.82817   	7.000000	1.81484   	7.000000	1.81484   	7.000000	1.82734   	7.000000	0.000826134	
7.500000	1.70087   	7.500000	1.73331   	7.500000	1.7197    	7.500000	1.7197    	7.500000	1.73253   	7.500000	0.000776607	
8.000000	1.61806   	8.000000	1.64818   	8.000000	1.63439   	8.000000	1.63439   	8.000000	1.64745   	8.000000	0.000732935	
8.500000	1.5435    	8.500000	1.57134   	8.500000	1.55745   	8.500000	1.55745   	8.500000	1.57065   	8.500000	0.000694122	
9.000000	1.47599   	9.000000	1.50163   	9.000000	1.48769   	9.000000	1.48769   	9.000000	1.50097   	9.000000	0.000659391	
9.500000	1.41457   	9.500000	1.43808   	9.500000	1.42415   	9.500000	1.42415   	9.500000	1.43745   	9.500000	0.000628118	
10.000000	1.35844   	10.000000	1.36194   	10.000000	1.36602   	10.000000	1.36602   	10.000000	1.36134   	10.000000	0.000599806	
11.000000	1.25951   	11.000000	1.26544   	11.000000	1.26238   	11.000000	1.26325   	11.000000	1.26489   	11.000000	0.000550504	
12.000000	1.17505   	12.000000	1.18238   	12.000000	1.17422   	12.000000	1.17566   	12.000000	1.18187   	12.000000	0.000509002	
13.000000	1.10207   	13.000000	1.11012   	13.000000	1.09835   	13.000000	1.10015   	13.000000	1.10965   	13.000000	0.000473562	
14.000000	1.03834   	14.000000	1.04671   	14.000000	1.0324    	14.000000	1.03444   	14.000000	1.04626   	14.000000	0.000442928	
15.000000	0.982194  	15.000000	0.990595  	15.000000	0.974562  	15.000000	0.976757  	15.000000	0.990179  	15.000000	0.000416174	
