Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	2.57318   	0.001000	2.57318   	0.001000	2.17003   	0.001000	2.17003   	0.001000	1.5323    	0.001000	1.04087   	
0.002000	2.71472   	0.002000	2.71472   	0.002000	2.32442   	0.002000	2.32442   	0.002000	1.98715   	0.002000	0.727574  	
0.005000	3.21371   	0.005000	3.21371   	0.005000	2.93659   	0.005000	2.93659   	0.005000	2.80194   	0.005000	0.411777  	
0.008000	3.63976   	0.008000	3.63976   	0.008000	3.49145   	0.008000	3.49145   	0.008000	3.34197   	0.008000	0.297785  	
0.010000	3.88514   	0.010000	3.88514   	0.010000	3.8221    	0.010000	3.8221    	0.010000	3.63366   	0.010000	0.251483  	
0.015000	4.65363   	0.015000	4.65363   	0.015000	4.44321   	0.015000	4.44321   	0.015000	4.46718   	0.015000	0.186446  	
0.020000	5.53576   	0.020000	5.53576   	0.020000	4.95689   	0.020000	4.95689   	0.020000	5.38593   	0.020000	0.149834  	
0.025000	6.37829   	0.025000	6.37829   	0.025000	5.45357   	0.025000	5.45357   	0.025000	6.25222   	0.025000	0.126072  	
0.030000	7.18396   	0.030000	7.18396   	0.030000	6.09688   	0.030000	6.09688   	0.030000	7.07467   	0.030000	0.109285  	
0.035000	7.95185   	0.035000	7.95185   	0.035000	6.70704   	0.035000	6.70704   	0.035000	7.85511   	0.035000	0.0967343 	
0.040000	8.67992   	0.040000	8.67992   	0.040000	7.28408   	0.040000	7.28408   	0.040000	8.59296   	0.040000	0.0869631 	
0.045000	9.36591   	0.045000	9.36591   	0.045000	7.82807   	0.045000	7.82807   	0.045000	9.28679   	0.045000	0.07912   	
0.050000	10.0077   	0.050000	10.0077   	0.050000	8.33915   	0.050000	8.33915   	0.050000	9.93503   	0.050000	0.0726729 	
