Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	1.62444   	0.001000	1.62444   	0.001000	1.62125   	0.001000	1.62125   	0.001000	0.880708  	0.001000	0.743736  	
0.002000	1.72267   	0.002000	1.72267   	0.002000	1.72106   	0.002000	1.72106   	0.002000	1.154     	0.002000	0.568665  	
0.005000	2.00362   	0.005000	2.00362   	0.005000	2.0105    	0.005000	2.0105    	0.005000	1.65105   	0.005000	0.352564  	
0.008000	2.24905   	0.008000	2.24905   	0.008000	2.26539   	0.008000	2.26539   	0.008000	1.98487   	0.008000	0.264178  	
0.010000	2.39487   	0.010000	2.39487   	0.010000	2.41752   	0.010000	2.41752   	0.010000	2.16643   	0.010000	0.228439  	
0.015000	2.71061   	0.015000	2.71061   	0.015000	2.74995   	0.015000	2.74995   	0.015000	2.53751   	0.015000	0.173103  	
0.020000	2.9786    	0.020000	2.9786    	0.020000	3.08684   	0.020000	3.08684   	0.020000	2.83814   	0.020000	0.140462  	
0.025000	3.28783   	0.025000	3.28783   	0.025000	3.41722   	0.025000	3.41722   	0.025000	3.16871   	0.025000	0.119125  	
0.030000	3.57934   	0.030000	3.57934   	0.030000	3.70674   	0.030000	3.70674   	0.030000	3.47526   	0.030000	0.104079  	
0.035000	3.85317   	0.035000	3.85317   	0.035000	3.98317   	0.035000	3.98317   	0.035000	3.76048   	0.035000	0.0926941 	
0.040000	4.10961   	0.040000	4.10961   	0.040000	4.24671   	0.040000	4.24671   	0.040000	4.02586   	0.040000	0.0837479 	
0.045000	4.34885   	0.045000	4.34885   	0.045000	4.49759   	0.045000	4.49759   	0.045000	4.27233   	0.045000	0.076513  	
0.050000	4.57106   	0.050000	4.57106   	0.050000	4.73602   	0.050000	4.73602   	0.050000	4.50054   	0.050000	0.0705286 	
0.055000	4.81583   	0.055000	4.81583   	0.055000	4.96223   	0.055000	4.96223   	0.055000	4.75034   	0.055000	0.0654876 	
0.060000	5.04742   	0.060000	5.04742   	0.060000	5.17648   	0.060000	5.17648   	0.060000	4.98625   	0.060000	0.0611775 	
0.070000	5.47126   	0.070000	5.47126   	0.070000	5.57018   	0.070000	5.57018   	0.070000	5.41708   	0.070000	0.0541798 	
0.080000	5.83759   	0.080000	5.83759   	0.080000	5.91957   	0.080000	5.91957   	0.080000	5.78886   	0.080000	0.0487276 	
0.090000	6.15789   	0.090000	6.15789   	0.090000	6.2274    	0.090000	6.2274    	0.090000	6.11354   	0.090000	0.0443486 	
