Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	1.7879    	0.001000	0.290653  	0.001000	0.270259  	0.001000	0.270259  	0.001000	0.1859    	0.001000	0.104753  	
0.002000	1.95347   	0.002000	0.359085  	0.002000	0.335653  	0.002000	0.335653  	0.002000	0.257491  	0.002000	0.101593  	
0.005000	2.36616   	0.005000	0.480819  	0.005000	0.454808  	0.005000	0.454808  	0.005000	0.396091  	0.005000	0.0847285 	
0.008000	2.69336   	0.008000	0.566328  	0.008000	0.54044   	0.008000	0.54044   	0.008000	0.494005  	0.008000	0.0723232 	
0.010000	2.88085   	0.010000	0.614733  	0.010000	0.589475  	0.010000	0.589475  	0.010000	0.548629  	0.010000	0.0661045 	
0.015000	3.35631   	0.015000	0.718702  	0.015000	0.69589   	0.015000	0.69589   	0.015000	0.663807  	0.015000	0.0548949 	
0.020000	3.73619   	0.020000	0.817719  	0.020000	0.802655  	0.020000	0.802655  	0.020000	0.770373  	0.020000	0.0473463 	
0.025000	4.15539   	0.025000	0.915747  	0.025000	0.913947  	0.025000	0.913947  	0.025000	0.873882  	0.025000	0.0418643 	
0.030000	4.51069   	0.030000	1.00879   	0.030000	0.99955   	0.030000	0.99955   	0.030000	0.971121  	0.030000	0.0376727 	
0.035000	4.80279   	0.035000	1.09719   	0.035000	1.08136   	0.035000	1.08136   	0.035000	1.06285   	0.035000	0.0343467 	
0.040000	5.033     	0.040000	1.18113   	0.040000	1.15952   	0.040000	1.15952   	0.040000	1.1495    	0.040000	0.0316325 	
0.045000	5.20377   	0.045000	1.26073   	0.045000	1.23413   	0.045000	1.23413   	0.045000	1.23137   	0.045000	0.0293688 	
0.050000	5.31857   	0.050000	1.33612   	0.050000	1.30528   	0.050000	1.30528   	0.050000	1.30867   	0.050000	0.0274473 	
0.055000	5.55018   	0.055000	1.40739   	0.055000	1.37305   	0.055000	1.37305   	0.055000	1.3816    	0.055000	0.0257926 	
0.060000	5.74746   	0.060000	1.47466   	0.060000	1.43752   	0.060000	1.43752   	0.060000	1.45031   	0.060000	0.0243505 	
0.070000	6.04882   	0.070000	1.59773   	0.070000	1.55691   	0.070000	1.55691   	0.070000	1.57578   	0.070000	0.0219527 	
0.080000	6.37217   	0.080000	1.70644   	0.080000	1.66421   	0.080000	1.66421   	0.080000	1.68641   	0.080000	0.0200334 	
0.090000	6.62619   	0.090000	1.80201   	0.090000	1.76025   	0.090000	1.76025   	0.090000	1.78355   	0.090000	0.0184575 	
0.100000	6.82993   	0.100000	1.88976   	0.100000	1.84591   	0.100000	1.84591   	0.100000	1.87263   	0.100000	0.0171371 	
0.120000	6.95369   	0.120000	2.03302   	0.120000	1.98947   	0.120000	1.98947   	0.120000	2.01811   	0.120000	0.0149056 	
0.140000	7.00287   	0.140000	2.14142   	0.140000	2.10195   	0.140000	2.10195   	0.140000	2.1281    	0.140000	0.013327  	
0.160000	7.02029   	0.160000	2.22219   	0.160000	2.18928   	0.160000	2.18928   	0.160000	2.21012   	0.160000	0.0120786 	
0.180000	7.01882   	0.180000	2.27211   	0.180000	2.25662   	0.180000	2.25662   	0.180000	2.26104   	0.180000	0.0110639 	
0.200000	7.03417   	0.200000	2.30948   	0.200000	2.3082    	0.200000	2.3082    	0.200000	2.29926   	0.200000	0.010221  	
0.250000	6.9058    	0.250000	2.36677   	0.250000	2.38877   	0.250000	2.38877   	0.250000	2.35815   	0.250000	0.00862329	
0.300000	6.93417   	0.300000	2.42703   	0.300000	2.42619   	0.300000	2.42619   	0.300000	2.41954   	0.300000	0.00749008	
0.350000	6.98614   	0.350000	2.47987   	0.350000	2.43981   	0.350000	2.43981   	0.350000	2.47323   	0.350000	0.00664038	
0.400000	6.97394   	0.400000	2.49903   	0.400000	2.44246   	0.400000	2.44246   	0.400000	2.49305   	0.400000	0.00597733	
0.450000	6.93545   	0.450000	2.50286   	0.450000	2.45536   	0.450000	2.45536   	0.450000	2.49742   	0.450000	0.00544411	
0.500000	6.91602   	0.500000	2.51076   	0.500000	2.45716   	0.500000	2.45716   	0.500000	2.50575   	0.500000	0.00500511	
0.600000	6.6087    	0.600000	2.5148    	0.600000	2.44038   	0.600000	2.44038   	0.600000	2.51048   	0.600000	0.00432293	
0.700000	6.26348   	0.700000	2.50167   	0.700000	2.40211   	0.700000	2.40211   	0.700000	2.49785   	0.700000	0.00381552	
0.800000	6.13024   	0.800000	2.47353   	0.800000	2.35646   	0.800000	2.35646   	0.800000	2.4701    	0.800000	0.00342208	
0.900000	5.98304   	0.900000	2.43854   	0.900000	2.30868   	0.900000	2.30868   	0.900000	2.43543   	0.900000	0.00310731	
1.000000	5.82829   	1.000000	2.39957   	1.000000	2.26026   	1.000000	2.26026   	1.000000	2.39672   	1.000000	0.00284928	
1.250000	5.38646   	1.250000	2.27499   	1.250000	2.13808   	1.250000	2.13808   	1.250000	2.27262   	1.250000	0.00236873	
1.500000	4.93154   	1.500000	2.12742   	1.500000	2.01713   	1.500000	2.01713   	1.500000	2.12539   	1.500000	0.00203474	
1.750000	4.54334   	1.750000	1.99905   	1.750000	1.91109   	1.750000	1.91109   	1.750000	1.99726   	1.750000	0.00178813	
2.000000	4.18214   	2.000000	1.87245   	2.000000	1.81643   	2.000000	1.81643   	2.000000	1.87085   	2.000000	0.00159801	
2.250000	3.8817    	2.250000	1.76377   	2.250000	1.73114   	2.250000	1.73114   	2.250000	1.76232   	2.250000	0.00144664	
2.500000	3.61506   	2.500000	1.67174   	2.500000	1.65385   	2.500000	1.65385   	2.500000	1.67042   	2.500000	0.00132306	
3.000000	3.22152   	3.000000	1.52164   	3.000000	1.51933   	3.000000	1.51933   	3.000000	1.52051   	3.000000	0.00113295	
3.500000	2.90887   	3.500000	1.40149   	3.500000	1.40646   	3.500000	1.40646   	3.500000	1.40049   	3.500000	0.000993129	
4.000000	2.65443   	4.000000	1.30258   	4.000000	1.3106    	4.000000	1.3106    	4.000000	1.30169   	4.000000	0.000885687	
4.500000	2.44324   	4.500000	1.21928   	4.500000	1.22827   	4.500000	1.22827   	4.500000	1.21848   	4.500000	0.00080037	
5.000000	2.26502   	5.000000	1.14775   	5.000000	1.15683   	5.000000	1.15683   	5.000000	1.14702   	5.000000	0.000730874	
