Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.206423  	0.001000	0.351202  	0.001000	0.480418  	0.001000	0.480418  	0.001000	0.296435  	0.001000	0.0547671 	
0.002000	0.24593   	0.002000	0.411511  	0.002000	0.539873  	0.002000	0.539873  	0.002000	0.377824  	0.002000	0.0336864 	
0.005000	0.32298   	0.005000	0.537691  	0.005000	0.653509  	0.005000	0.653509  	0.005000	0.520677  	0.005000	0.0170133 	
0.008000	0.375814  	0.008000	0.625545  	0.008000	0.727623  	0.008000	0.727623  	0.008000	0.613777  	0.008000	0.0117678 	
0.010000	0.40462   	0.010000	0.67348   	0.010000	0.76677   	0.010000	0.76677   	0.010000	0.663635  	0.010000	0.0098451 	
0.015000	0.488016  	0.015000	0.825259  	0.015000	0.84476   	0.015000	0.84476   	0.015000	0.818174  	0.015000	0.00708537	
0.020000	0.556346  	0.020000	0.951463  	0.020000	0.905732  	0.020000	0.905732  	0.020000	0.945871  	0.020000	0.00559178	
0.025000	0.612858  	0.025000	1.05921   	0.025000	0.956428  	0.025000	0.956428  	0.025000	1.05456   	0.025000	0.00464578	
0.030000	0.659287  	0.030000	1.15215   	0.030000	1.02733   	0.030000	1.02733   	0.030000	1.14816   	0.030000	0.00398884	
0.035000	0.696776  	0.035000	1.23243   	0.035000	1.08715   	0.035000	1.08715   	0.035000	1.22893   	0.035000	0.00350405	
0.040000	0.726226  	0.040000	1.30149   	0.040000	1.13762   	0.040000	1.13762   	0.040000	1.29836   	0.040000	0.00313051	
0.045000	0.748445  	0.045000	1.36034   	0.045000	1.17999   	0.045000	1.17999   	0.045000	1.35751   	0.045000	0.00283321	
0.050000	0.764212  	0.050000	1.40983   	0.050000	1.21529   	0.050000	1.21529   	0.050000	1.40724   	0.050000	0.00259058	
0.055000	0.774294  	0.055000	1.45066   	0.055000	1.24435   	0.055000	1.24435   	0.055000	1.44827   	0.055000	0.00238854	
0.060000	0.779447  	0.060000	1.48349   	0.060000	1.26787   	0.060000	1.26787   	0.060000	1.48127   	0.060000	0.0022175 	
0.070000	0.777842  	0.070000	1.52764   	0.070000	1.30071   	0.070000	1.30071   	0.070000	1.5257    	0.070000	0.00194323	
