Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.206423  	0.001000	0.780987  	0.001000	1.03916   	0.001000	1.03916   	0.001000	0.592281  	0.001000	0.188705  	
0.002000	0.24593   	0.002000	0.87511   	0.002000	1.13158   	0.002000	1.13158   	0.002000	0.754899  	0.002000	0.120211  	
0.005000	0.32298   	0.005000	1.102     	0.005000	1.33341   	0.005000	1.33341   	0.005000	1.04032   	0.005000	0.0616777 	
0.008000	0.375814  	0.008000	1.26941   	0.008000	1.47337   	0.008000	1.47337   	0.008000	1.22634   	0.008000	0.0430775 	
0.010000	0.40462   	0.010000	1.36214   	0.010000	1.54853   	0.010000	1.54853   	0.010000	1.32595   	0.010000	0.0361821 	
0.015000	0.488016  	0.015000	1.66093   	0.015000	1.69989   	0.015000	1.69989   	0.015000	1.63472   	0.015000	0.0262051 	
0.020000	0.556346  	0.020000	1.91063   	0.020000	1.81926   	0.020000	1.81926   	0.020000	1.88987   	0.020000	0.0207627 	
0.025000	0.612858  	0.025000	2.12433   	0.025000	1.91897   	0.025000	1.91897   	0.025000	2.10703   	0.025000	0.0172982 	
0.030000	0.659287  	0.030000	2.30892   	0.030000	2.05953   	0.030000	2.05953   	0.030000	2.29404   	0.030000	0.0148836 	
0.035000	0.696776  	0.035000	2.46851   	0.035000	2.17825   	0.035000	2.17825   	0.035000	2.45542   	0.035000	0.0130969 	
0.040000	0.726226  	0.040000	2.60585   	0.040000	2.27844   	0.040000	2.27844   	0.040000	2.59413   	0.040000	0.0117171 	
0.045000	0.748445  	0.045000	2.72294   	0.045000	2.3626    	0.045000	2.3626    	0.045000	2.71233   	0.045000	0.010617  	
0.050000	0.764212  	0.050000	2.8214    	0.050000	2.43271   	0.050000	2.43271   	0.050000	2.81169   	0.050000	0.00971774	
0.055000	0.774294  	0.055000	2.90264   	0.055000	2.49042   	0.055000	2.49042   	0.055000	2.89367   	0.055000	0.0089679 	
0.060000	0.779447  	0.060000	2.96794   	0.060000	2.53713   	0.060000	2.53713   	0.060000	2.9596    	0.060000	0.00833236	
0.070000	0.777842  	0.070000	3.05568   	0.070000	2.60226   	0.070000	2.60226   	0.070000	3.04837   	0.070000	0.00731178	
0.080000	0.764696  	0.080000	3.09428   	0.080000	2.63634   	0.080000	2.63634   	0.080000	3.08776   	0.080000	0.00652648	
0.090000	0.744373  	0.090000	3.09307   	0.090000	2.64598   	0.090000	2.64598   	0.090000	3.08716   	0.090000	0.0059022 	
0.100000	0.720179  	0.100000	3.06078   	0.100000	2.63657   	0.100000	2.63657   	0.100000	3.05538   	0.100000	0.00539319	
0.120000	0.668683  	0.120000	2.93347   	0.120000	2.57749   	0.120000	2.57749   	0.120000	2.92885   	0.120000	0.00461145	
0.140000	0.620388  	0.140000	2.76212   	0.140000	2.48536   	0.140000	2.48536   	0.140000	2.75808   	0.140000	0.00403755	
0.160000	0.578462  	0.160000	2.57881   	0.160000	2.37712   	0.160000	2.37712   	0.160000	2.57522   	0.160000	0.00359719	
0.180000	0.543039  	0.180000	2.40139   	0.180000	2.26337   	0.180000	2.26337   	0.180000	2.39814   	0.180000	0.00324794	
0.200000	0.513233  	0.200000	2.23821   	0.200000	2.1504    	0.200000	2.1504    	0.200000	2.23525   	0.200000	0.00296376	
0.250000	0.45663   	0.250000	1.90433   	0.250000	1.89089   	0.250000	1.89089   	0.250000	1.90189   	0.250000	0.00243981	
0.300000	0.416269  	0.300000	1.66149   	0.300000	1.67472   	0.300000	1.67472   	0.300000	1.65941   	0.300000	0.00208003	
0.350000	0.385279  	0.350000	1.48213   	0.350000	1.4993    	0.350000	1.4993    	0.350000	1.48031   	0.350000	0.00181683	
0.400000	0.360148  	0.400000	1.34499   	0.400000	1.35703   	0.400000	1.35703   	0.400000	1.34337   	0.400000	0.00161546	
0.450000	0.338997  	0.450000	1.23633   	0.450000	1.24056   	0.450000	1.24056   	0.450000	1.23487   	0.450000	0.00145614	
0.500000	0.320742  	0.500000	1.14751   	0.500000	1.14397   	0.500000	1.14397   	0.500000	1.14619   	0.500000	0.00132677	
0.600000	0.290438  	0.600000	1.00931   	0.600000	0.993659  	0.600000	0.993659  	0.600000	1.00818   	0.600000	0.00112907	
0.700000	0.266013  	0.700000	0.904994  	0.700000	0.882144  	0.700000	0.882144  	0.700000	0.90401   	0.700000	0.000984747	
0.800000	0.245754  	0.800000	0.822326  	0.800000	0.795893  	0.800000	0.795893  	0.800000	0.821452  	0.800000	0.000874521	
0.900000	0.228612  	0.900000	0.754626  	0.900000	0.726936  	0.900000	0.726936  	0.900000	0.753838  	0.900000	0.00078744	
1.000000	0.213886  	1.000000	0.697868  	1.000000	0.670342  	1.000000	0.670342  	1.000000	0.697151  	1.000000	0.000716818	
1.250000	0.184698  	1.250000	0.588623  	1.250000	0.564401  	1.250000	0.564401  	1.250000	0.588036  	1.250000	0.000587215	
1.500000	0.162953  	1.500000	0.50969   	1.500000	0.489988  	1.500000	0.489988  	1.500000	0.509191  	1.500000	0.000498716	
1.750000	0.146074  	1.750000	0.449741  	1.750000	0.434404  	1.750000	0.434404  	1.750000	0.449307  	1.750000	0.000434261	
2.000000	0.13256   	2.000000	0.402569  	2.000000	0.391081  	2.000000	0.391081  	2.000000	0.402184  	2.000000	0.000385125	
2.250000	0.121479  	2.250000	0.364439  	2.250000	0.356243  	2.250000	0.356243  	2.250000	0.364092  	2.250000	0.000346369	
2.500000	0.11173   	2.500000	0.332957  	2.500000	0.327546  	2.500000	0.327546  	2.500000	0.332642  	2.500000	0.000314981	
3.000000	0.0975606 	3.000000	0.283976  	3.000000	0.282908  	3.000000	0.282908  	3.000000	0.283708  	3.000000	0.000267169	
3.500000	0.0868065 	3.500000	0.247597  	3.500000	0.249661  	3.500000	0.249661  	3.500000	0.247364  	3.500000	0.000232397	
4.000000	0.0783425 	4.000000	0.219492  	4.000000	0.223851  	4.000000	0.223851  	4.000000	0.219286  	4.000000	0.000205921	
