ch	ring	ped	
32	0	22.07	0
32	1	22.07	0.016575466
32	2	22.07	0.016990179
32	3	22.07	0.017584348
32	4	22.07	0.017326676
32	5	22.07	0
32	6	22.07	0
32	7	22.07	0
32	8	22.07	0
32	9	22.07	0
32	10	22.07	0
32	11	22.07	0
32	12	22.07	0
32	13	22.07	0
32	14	22.07	0
32	15	22.07	0
33	0	23.44	0
33	1	23.44	0.017028
33	2	23.44	0.016994348
33	3	23.44	0.017601848
33	4	23.44	0.017085525
33	5	23.44	0.01668268
33	6	23.44	0.016689171
33	7	23.44	0.017156069
33	8	23.44	0
33	9	23.44	0
33	10	23.44	0
33	11	23.44	0
33	12	23.44	0
33	13	23.44	0
33	14	23.44	0
33	15	23.44	0
34	0	22.23	0
34	1	22.23	0.017940402
34	2	22.23	0.018134587
34	3	22.23	0.018771741
34	4	22.23	0.018642451
34	5	22.23	0.018889776
34	6	22.23	0.018842318
34	7	22.23	0.019112621
34	8	22.23	0.019335256
34	9	22.23	0.019291642
34	10	22.23	0.019340454
34	11	22.23	0.019618332
34	12	22.23	0.019790118
34	13	22.23	0.02010193
34	14	22.23	0.02029909
34	15	22.23	0.020589392
35	0	23.2	0
35	1	23.2	0.016993341
35	2	23.2	0.016924296
35	3	23.2	0.01767581
35	4	23.2	0.018328258
35	5	23.2	0.018515652
35	6	23.2	0.018616826
35	7	23.2	0.018681426
35	8	23.2	0.018786734
35	9	23.2	0.018878126
35	10	23.2	0.018965934
35	11	23.2	0.019539158
35	12	23.2	0.019507684
35	13	23.2	0.019788754
35	14	23.2	0.019956214
35	15	23.2	0.020359392
36	0	21.56	0.017616015
36	1	21.56	0.017849601
36	2	21.56	0.017948215
36	3	21.56	0.018762002
36	4	21.56	0.01901966
36	5	21.56	0.018537333
36	6	21.56	0.018865642
36	7	21.56	0.019118944
36	8	21.56	0.019196946
36	9	21.56	0.019276776
36	10	21.56	0.019540974
36	11	21.56	0.019653288
36	12	21.56	0.020208125
36	13	21.56	0.020176105
36	14	21.56	0.020415547
36	15	21.56	0.020995721
37	0	23.93	0.017425723
37	1	23.93	0.017736891
37	2	23.93	0.017927743
37	3	23.93	0.01817609
37	4	23.93	0.019089035
37	5	23.93	0.018575237
37	6	23.93	0.018819575
37	7	23.93	0.019049617
37	8	23.93	0.019308143
37	9	23.93	0.019600734
37	10	23.93	0.019525663
37	11	23.93	0.019957283
37	12	23.93	0.020041809
37	13	23.93	0.020679468
37	14	23.93	0.021272012
37	15	23.93	0.021172482
38	0	22.19	0.018105309
38	1	22.19	0.018958376
38	2	22.19	0.018368093
38	3	22.19	0.019559093
38	4	22.19	0.019335312
38	5	22.19	0.01903945
