ch	ring	ped	gain
48	0	28	0.01045802
48	1	28	0.010458017
48	2	28	0.010746323
48	3	28	0.011037458
48	4	28	0.011077663
48	5	28	0
48	6	28	0
48	7	28	0
48	8	28	0
48	9	28	0
48	10	28	0
48	11	28	0
48	12	28	0
48	13	28	0
48	14	28	0
48	15	28	0
49	0	29	0.01080749
49	1	29	0.010807486
49	2	29	0.010954075
49	3	29	0.01106811
49	4	29	0.010978868
49	5	29	0.010734226
49	6	29	0.010650841
49	7	29	0.010781114
49	8	29	0.01078111
49	9	29	0
49	10	29	0
49	11	29	0
49	12	29	0
49	13	29	0
49	14	29	0
49	15	29	0
50	0	28	0.01149178
50	1	28	0.011491784
50	2	28	0.011566398
50	3	28	0.011560374
50	4	28	0.012090636
50	5	28	0.012122036
50	6	28	0.012144773
50	7	28	0.012199059
50	8	28	0.012336
50	9	28	0.012375424
50	10	28	0.012363212
50	11	28	0.012660215
50	12	28	0.012698151
50	13	28	0.012982039
50	14	28	0.013040264
50	15	28	0.01304026
51	0	29	0.0107
51	1	29	0.010700026
51	2	29	0.01061974
51	3	29	0.011132452
51	4	29	0.011428555
51	5	29	0.011609569
51	6	29	0.011617732
51	7	29	0.011747548
51	8	29	0.01174755
51	9	29	0.011835066
51	10	29	0.012001217
51	11	29	0.012336912
51	12	29	0.012226767
51	13	29	0.012400233
51	14	29	0.012530546
51	15	29	0.01288373
52	0	27	0.011104346
52	1	27	0.01125053
52	2	27	0.011361888
52	3	27	0.0114566
52	4	27	0.01186068
52	5	27	0.011694991
52	6	27	0.011844331
52	7	27	0.011967916
52	8	27	0.012058412
52	9	27	0.012129431
52	10	27	0.012241939
52	11	27	0.012259788
52	12	27	0.012624564
52	13	27	0.01276376
52	14	27	0.012884593
52	15	27	0.012926986
53	0	29	0.011190269
53	1	29	0.011448343
53	2	29	0.011607915
53	3	29	0.011608695
53	4	29	0.012177278
53	5	29	0.012007003
53	6	29	0.012131192
53	7	29	0.012127366
53	8	29	0.012407081
53	9	29	0.012573252
53	10	29	0.012427472
53	11	29	0.012634374
53	12	29	0.012812612
53	13	29	0.013218547
53	14	29	0.013536327
53	15	29	0.013495573
54	0	28	0.011549786
54	1	28	0.011689189
54	2	28	0.01178
54	3	28	0.012007709
54	4	28	0.012053529
54	5	28	0.012101879
54	6	28	0.012132425
54	7	28	0.01218
54	8	28	0.012297565
54	9	28	0.012347534
54	10	28	0.012350447
54	11	28	0.012427781
54	12	28	0.012531411
54	13	28	0.012754007
54	14	28	0.012877509
54	15	28	0.012705209
55	0	28	0.015019817
55	1	28	0.01528114
55	2	28	0.015752913
55	3	28	0.015473562
55	4	28	0.016121279
55	5	28	0.015831737
55	6	28	0.015828871
55	7	28	0.0158
55	8	28	0.015788992
55	9	28	0.01579456
55	10	28	0.015936822
55	11	28	0.016183263
55	12	28	0.016448185
55	13	28	0.016138863
55	14	28	0.016396034
55	15	28	0.016275059
56	0	26	0.011118433
56	1	26	0.011464397
56	2	26	0.011302105
56	3	26	0.012066935
56	4	26	0.011785895
56	5	26	0.01185255
56	6	26	0.012186018
56	7	26	0.01212368
56	8	26	0.012152719
56	9	26	0.012315663
56	10	26	0.012495467
56	11	26	0.012835837
56	12	26	0.013117763
56	13	26	0.01317386
56	14	26	0.013583044
56	15	26	0.013775942
57	0	27	0.010131145
57	1	27	0.010186523
57	2	27	0.010371706
57	3	27	0.010471
57	4	27	0.01055318
57	5	27	0.010869043
57	6	27	0.010958467
57	7	27	0.011134851
57	8	27	0.011176214
57	9	27	0.01142456
57	10	27	0.011552567
57	11	27	0.011617132
57	12	27	0.011768105
57	13	27	0.012114712
57	14	27	0.012334538
57	15	27	0.013074748
58	0	27	0.011396184
58	1	27	0.011617226
58	2	27	0.0118
58	3	27	0.011637856
58	4	27	0.01192
58	5	27	0.01200569
58	6	27	0.011910723
58	7	27	0.012258014
58	8	27	0.01214553
58	9	27	0.012326929
58	10	27	0.012519286
58	11	27	0.012512693
58	12	27	0.012680457
58	13	27	0.01280459
58	14	27	0.013062346
58	15	27	0.012601729
59	0	25	0.013030226
59	1	25	0.013041593
59	2	25	0.013419106
59	3	25	0.013364
59	4	25	0.013364744
59	5	25	0.013592373
59	6	25	0.013846272
59	7	25	0.013651045
59	8	25	0.013692044
59	9	25	0.013626343
59	10	25	0.013729815
59	11	25	0.013747974
59	12	25	0.01384536
59	13	25	0.014089
59	14	25	0.014089527
59	15	25	0.013998263
60	0	26	0.01114417
60	1	26	0.011391312
60	2	26	0.011420344
60	3	26	0.011754045
60	4	26	0.011920511
60	5	26	0.011850262
60	6	26	0.011745278
60	7	26	0.011979315
60	8	26	0.012066238
60	9	26	0.012218139
60	10	26	0.012192324
60	11	26	0.01237091
60	12	26	0.012452762
60	13	26	0.012807931
60	14	26	0.012778399
60	15	26	0.012658794
61	0	25	0.010726303
61	1	25	0.010810132
61	2	25	0.010932017
61	3	25	0.0110022
61	4	25	0.011510223
61	5	25	0.011219819
61	6	25	0.011455557
61	7	25	0.011502388
61	8	25	0.011580721
61	9	25	0.011584297
61	10	25	0.011682318
61	11	25	0.011790182
61	12	25	0.01211457
61	13	25	0.012231512
61	14	25	0.012425243
61	15	25	0.012392297
62	0	26	0.01151944
62	1	26	0.011712277
