ch	ped	gain
160	21	0.019110962
161	21	0.01938472
162	21	0.019034159
163	21	0.019072483
164	21	0.019734722
165	23.47	0.019564484
167	21	0.019411202
168	19	0.018671485
169	25	0.018598168
170	20.53	0.018641233
171	34.88	0.018994466
172	20.19	0.01860048
173	23.33	0.018962146
174	19	0.019253388
175	24	0.018794974
176	19.53	0.019391731
178	22.66	0.01856973
179	19	0.018393528
180	23	0.018733026
181	19	0.018298777
182	23	0.018610347
183	19	0.018310567
184	23	0.017906742
185	18	0.018598168
186	21	0.018770145
187	21	0.018970628
188	20	0.018008872
189	20	0.018634754
190	22	0.018298777
191	21	0.018537508
192	21	0.018832339
193	20	0.01976217
