ch	ped	gain
64	23.568	0.025501697
65	20.578	0.025202191
66	22.368	0.024685095
67	21.077	0.024665927
68	22.547	0.024960153
69	21.573	0.024537268
70	22.544	0.024528954
71	19.93	0.024177641
72	22.744	0.024472628
73	21.199	0.024452655
74	22.482	0.023993723
75	20.82	0.024219316
76	22.508	0.023950589
77	20.416	0.024602719
78	22.767	0.023875978
79	20.261	0.024869137
80	21.824	0.025130905
81	21.987	0.024439087
82	22.425	0.024672171
83	21.672	0.024548377
84	21.676	0.024857721
85	22.402	0.024538229
86	22.152	0.024884745
87	21.847	0.024661846
