ch	offset	gain
192	19.573	0
193	21.353	0
194	18.844	0.0060071
195	21.304	0.00641257
196	19.425	0.00574348
197	22.644	0.00607013
198	19.425	0.0061008
199	22.325	0.00645138
200	22.501	0.00645283
201	23.563	0.00630647
202	21.885	0.00622215
203	24.225	0.0064812
204	21.102	0.00682184
205	24.277	0.0062452
206	21.597	0.00896952
207	22.701	0.00334358
208	17.656	0.00577883
209	23.786	0.0057564
210	17.979	0.0058396
211	23.985	0.00579078
212	17.603	0.00598169
213	26.796	0.0060971
214	17.325	0.00590988
215	23.083	0.00620322
216	21.508	0.00603802
217	20.671	0.00620651
218	23.075	0.00629137
219	20.442	0.00631765
220	21.511	0.00645729
221	19.094	0.00614325
222	21.315	0.00592824
223	19.424	0.00583703
224	20.693	0.00575289
225	21.488	0.00591879
226	21.123	0.00572949
227	21.164	0.00582024
228	20.352	0.0056614
229	21.24	0.00600335
230	20.399	0.00586698
231	21.635	0.00617046
232	23.036	0.00617018
233	22.758	0.0060295
234	23.362	0.00630156
235	22.152	0.00620985
236	23.599	0.00613079
237	22.339	0.0061128
238	22.735	0.00588266
239	21.341	0.0057956
240	22.25	0.00578696
241	20.489	0.00577915
242	22.109	0.00579401
243	21.277	0.00565905
244	22.609	0.00605875
245	21.38	0.00590565
246	22.386	0.0059966
247	20.136	0
248	25.156	0.00599873
249	21.66	0.00598059
250	25.516	0.00594155
251	21.509	0.00621002
252	24.71	0.0061037
253	21.852	0.00611514
254	25.019	0.00592225
255	21.71	0.00575915
256	22.151	0.00573938
257	22.306	0.00582315
258	22.123	0.00566979
259	23.065	0.00583863
260	22.159	0.00584183
261	23.679	0.0057887
262	22.524	0.00597431
263	23.106	0.00604346
264	24.551	0.00597523
265	23.335	0.0061149
266	24.418	0.00600376
267	22.197	0.0060429
268	24.928	0.00616649
269	23.173	0.00596484
270	23.337	0.0058593
271	21.763	0.00558157
272	24.329	0.00562022
273	22.244	0.00576424
274	24.995	0.00581828
275	22.262	0.00573286
276	24.535	0.00576433
277	22.072	0.00595918
278	24.866	0.00596204
279	22.964	0.00580422
280	21.946	0.00603793
281	21.525	0.0057958
282	22.7	0.00607145
283	23.286	0.00622653
284	22.975	0.00621343
285	21.483	0.00600786
286	22.824	0.00588079
287	21.393	0.00567444
288	21.522	0.00570336
289	21.481	0.00579676
290	22.304	0.00575916
291	22.485	0.00600816
292	21.604	0.00581759
293	22.902	0.00587339
294	22.733	0.00583914
295	22.561	0.00592735
296	22.036	0.00610199
297	21.381	0.00588002
298	23.157	0.00605378
299	21.561	0.00606831
300	23.14	0.00620832
301	21.896	0.00609455
302	21.547	0.00604993
303	21.954	0.00561157
304	21.682	0.00564334
305	21.497	0.00565896
306	21.092	0.00575593
307	20.685	0.00581631
308	20.833	0.00581269
309	21.256	0.00577073
310	20.917	0.00582403
311	20.607	0.00591086
312	21.117	0.0057716
313	22.835	0.00601458
314	21.402	0.00587695
315	24.006	0.00613571
316	22.141	0.00618381
317	22.891	0.00603211
318	21.604	0.00594369
319	20.867	0
