Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.882677  	0.001000	0.882677  	0.001000	0.864644  	0.001000	0.864644  	0.001000	0.456747  	0.001000	0.42593   	
0.002000	0.981324  	0.002000	0.981324  	0.002000	0.969111  	0.002000	0.969111  	0.002000	0.632644  	0.002000	0.34868   	
0.005000	1.20614   	0.005000	1.20614   	0.005000	1.21394   	0.005000	1.21394   	0.005000	0.973175  	0.005000	0.232963  	
0.008000	1.39363   	0.008000	1.39363   	0.008000	1.42073   	0.008000	1.42073   	0.008000	1.21375   	0.008000	0.179885  	
0.010000	1.50545   	0.010000	1.50545   	0.010000	1.5448    	0.010000	1.5448    	0.010000	1.34795   	0.010000	0.157492  	
0.015000	1.75285   	0.015000	1.75285   	0.015000	1.82101   	0.015000	1.82101   	0.015000	1.63094   	0.015000	0.12191   	
0.020000	1.99183   	0.020000	1.99183   	0.020000	2.11799   	0.020000	2.11799   	0.020000	1.89119   	0.020000	0.100639  	
0.025000	2.23702   	0.025000	2.23702   	0.025000	2.41858   	0.025000	2.41858   	0.025000	2.15073   	0.025000	0.0862938 	
0.030000	2.46248   	0.030000	2.46248   	0.030000	2.62764   	0.030000	2.62764   	0.030000	2.38731   	0.030000	0.0751708 	
0.035000	2.67075   	0.035000	2.67075   	0.035000	2.81783   	0.035000	2.81783   	0.035000	2.60344   	0.035000	0.0673149 	
0.040000	2.86214   	0.040000	2.86214   	0.040000	2.98971   	0.040000	2.98971   	0.040000	2.80106   	0.040000	0.0610856 	
0.045000	3.03798   	0.045000	3.03798   	0.045000	3.14462   	0.045000	3.14462   	0.045000	2.98196   	0.045000	0.0560115 	
0.050000	3.19971   	0.050000	3.19971   	0.050000	3.28391   	0.050000	3.28391   	0.050000	3.14792   	0.050000	0.0517897 	
0.055000	3.33424   	0.055000	3.33424   	0.055000	3.40894   	0.055000	3.40894   	0.055000	3.28603   	0.055000	0.0482158 	
0.060000	3.45683   	0.060000	3.45683   	0.060000	3.52103   	0.060000	3.52103   	0.060000	3.41168   	0.060000	0.045147  	
0.070000	3.67243   	0.070000	3.67243   	0.070000	3.71151   	0.070000	3.71151   	0.070000	3.63229   	0.070000	0.0401389 	
0.080000	3.85112   	0.080000	3.85112   	0.080000	3.8649    	0.080000	3.8649    	0.080000	3.8149    	0.080000	0.036214  	
0.090000	4.00839   	0.090000	4.00839   	0.090000	3.98936   	0.090000	3.98936   	0.090000	3.97535   	0.090000	0.0330469 	
0.100000	4.15795   	0.100000	4.15795   	0.100000	4.09151   	0.100000	4.09151   	0.100000	4.12751   	0.100000	0.0304318 	
0.120000	4.31719   	0.120000	4.31719   	0.120000	4.24845   	0.120000	4.24845   	0.120000	4.29083   	0.120000	0.0263543 	
0.140000	4.44165   	0.140000	4.44165   	0.140000	4.36384   	0.140000	4.36384   	0.140000	4.41834   	0.140000	0.0233101 	
0.160000	4.54094   	0.160000	4.54094   	0.160000	4.45322   	0.160000	4.45322   	0.160000	4.52      	0.160000	0.0209426 	
0.180000	4.60404   	0.180000	4.60404   	0.180000	4.52502   	0.180000	4.52502   	0.180000	4.585     	0.180000	0.019044  	
0.200000	4.65966   	0.200000	4.65966   	0.200000	4.58393   	0.200000	4.58393   	0.200000	4.64218   	0.200000	0.0174844 	
0.250000	4.70019   	0.250000	4.70019   	0.250000	4.69045   	0.250000	4.69045   	0.250000	4.68562   	0.250000	0.0145717 	
0.300000	4.77155   	0.300000	4.77155   	0.300000	4.75436   	0.300000	4.75436   	0.300000	4.75901   	0.300000	0.0125409 	
0.350000	4.8291    	0.350000	4.8291    	0.350000	4.78723   	0.350000	4.78723   	0.350000	4.81806   	0.350000	0.0110376 	
0.400000	4.81824   	0.400000	4.81824   	0.400000	4.80261   	0.400000	4.80261   	0.400000	4.80836   	0.400000	0.00987644	
0.450000	4.77435   	0.450000	4.77435   	0.450000	4.83524   	0.450000	4.83524   	0.450000	4.7654    	0.450000	0.00895038	
0.500000	4.73495   	0.500000	4.73495   	0.500000	4.84278   	0.500000	4.84278   	0.500000	4.72675   	0.500000	0.00819327	
0.600000	4.69909   	0.600000	4.69909   	0.600000	4.8075    	0.600000	4.8075    	0.600000	4.69206   	0.600000	0.00702662	
0.700000	4.62544   	0.700000	4.62544   	0.700000	4.71954   	0.700000	4.71954   	0.700000	4.61928   	0.700000	0.00616696	
0.800000	4.59476   	0.800000	4.59476   	0.800000	4.6112    	0.800000	4.6112    	0.800000	4.58925   	0.800000	0.00550534	
0.900000	4.54953   	0.900000	4.54953   	0.900000	4.49586   	0.900000	4.49586   	0.900000	4.54455   	0.900000	0.0049793 	
1.000000	4.49577   	1.000000	4.49577   	1.000000	4.37844   	1.000000	4.37844   	1.000000	4.49122   	1.000000	0.00455033	
1.250000	4.23392   	1.250000	4.23392   	1.250000	4.0857    	1.250000	4.0857    	1.250000	4.23016   	1.250000	0.00375711	
1.500000	3.94028   	1.500000	3.94028   	1.500000	3.80467   	1.500000	3.80467   	1.500000	3.93706   	1.500000	0.00321048	
1.750000	3.68933   	1.750000	3.68933   	1.750000	3.56148   	1.750000	3.56148   	1.750000	3.68652   	1.750000	0.0028095 	
2.000000	3.44785   	2.000000	3.44785   	2.000000	3.348     	2.000000	3.348     	2.000000	3.44535   	2.000000	0.00250201	
2.250000	3.21907   	2.250000	3.21907   	2.250000	3.15887   	2.250000	3.15887   	2.250000	3.21681   	2.250000	0.00225828	
2.500000	3.08925   	2.500000	3.02635   	2.500000	2.99016   	2.500000	2.99016   	2.500000	3.02429   	2.500000	0.00206003	
3.000000	2.78449   	3.000000	2.71504   	3.000000	2.70233   	3.000000	2.70233   	3.000000	2.71328   	3.000000	0.00175647	
3.500000	2.53555   	3.500000	2.46946   	3.500000	2.46629   	3.500000	2.46629   	3.500000	2.46792   	3.500000	0.00153438	
4.000000	2.32896   	4.000000	2.26989   	4.000000	2.26952   	4.000000	2.26952   	4.000000	2.26852   	4.000000	0.00136443	
4.500000	2.15494   	4.500000	2.10372   	4.500000	2.10315   	4.500000	2.10315   	4.500000	2.10249   	4.500000	0.00122996	
5.000000	2.00644   	5.000000	1.96254   	5.000000	1.96069   	5.000000	1.96069   	5.000000	1.96142   	5.000000	0.00112076	
5.500000	1.87823   	5.500000	1.84077   	5.500000	1.83735   	5.500000	1.83735   	5.500000	1.83974   	5.500000	0.00103021	
6.000000	1.76641   	6.000000	1.73448   	6.000000	1.72953   	6.000000	1.72953   	6.000000	1.73353   	6.000000	0.000953853	
6.500000	1.66803   	6.500000	1.6408    	6.500000	1.63445   	6.500000	1.63445   	6.500000	1.63991   	6.500000	0.00088854	
7.000000	1.58078   	7.000000	1.55754   	7.000000	1.54996   	7.000000	1.54996   	7.000000	1.5567    	7.000000	0.000832003	
7.500000	1.50285   	7.500000	1.483     	7.500000	1.47437   	7.500000	1.47437   	7.500000	1.48221   	7.500000	0.000782557	
8.000000	1.43282   	8.000000	1.41585   	8.000000	1.40633   	8.000000	1.40633   	8.000000	1.41511   	8.000000	0.000738928	
8.500000	1.36954   	8.500000	1.35502   	8.500000	1.34474   	8.500000	1.34474   	8.500000	1.35432   	8.500000	0.00070013	
9.000000	1.31205   	9.000000	1.29964   	9.000000	1.28871   	9.000000	1.28871   	9.000000	1.29898   	9.000000	0.000665391	
9.500000	1.25959   	9.500000	1.249     	9.500000	1.23752   	9.500000	1.23752   	9.500000	1.24836   	9.500000	0.000634095	
10.000000	1.21152   	10.000000	1.20824   	10.000000	1.19054   	10.000000	1.19054   	10.000000	1.20764   	10.000000	0.000605748	
11.000000	1.12649   	11.000000	1.12853   	11.000000	1.10772   	11.000000	1.10862   	11.000000	1.12798   	11.000000	0.000556351	
12.000000	1.05359   	12.000000	1.05906   	12.000000	1.03665   	12.000000	1.03815   	12.000000	1.05854   	12.000000	0.000514735	
13.000000	0.990354  	13.000000	0.998009  	13.000000	0.974987  	13.000000	0.976862  	13.000000	0.99753   	13.000000	0.00047917	
14.000000	0.934959  	14.000000	0.943976  	14.000000	0.920947  	14.000000	0.923072  	14.000000	0.943527  	14.000000	0.000448408	
15.000000	0.886011  	15.000000	0.895829  	15.000000	0.873186  	15.000000	0.875473  	15.000000	0.895407  	15.000000	0.000421525	
16.000000	0.842428  	16.000000	0.852664  	16.000000	0.830691  	16.000000	0.833051  	16.000000	0.852266  	16.000000	0.00039782	
17.000000	0.80336   	17.000000	0.813751  	17.000000	0.792638  	17.000000	0.795002  	17.000000	0.813374  	17.000000	0.000376753	
18.000000	0.768129  	18.000000	0.778493  	18.000000	0.758326  	18.000000	0.760682  	18.000000	0.778135  	18.000000	0.000357901	
19.000000	0.736187  	19.000000	0.746399  	19.000000	0.727231  	19.000000	0.729567  	19.000000	0.746058  	19.000000	0.000340926	
20.000000	0.707085  	20.000000	0.71706   	20.000000	0.698951  	20.000000	0.70123   	20.000000	0.716735  	20.000000	0.000325559	
21.000000	0.680455  	21.000000	0.690137  	21.000000	0.673122  	21.000000	0.675316  	21.000000	0.689825  	21.000000	0.000311577	
22.000000	0.655988  	22.000000	0.665341  	22.000000	0.649424  	22.000000	0.651529  	22.000000	0.665042  	22.000000	0.000298798	
23.000000	0.633426  	23.000000	0.642429  	23.000000	0.627599  	23.000000	0.62962   	23.000000	0.642142  	23.000000	0.000287072	
24.000000	0.612551  	24.000000	0.621192  	24.000000	0.607435  	24.000000	0.609377  	24.000000	0.620916  	24.000000	0.000276271	
25.000000	0.593178  	25.000000	0.601453  	25.000000	0.588755  	25.000000	0.590621  	25.000000	0.601187  	25.000000	0.000266289	
27.000000	0.558318  	27.000000	0.56587   	27.000000	0.555277  	27.000000	0.556969  	27.000000	0.565622  	27.000000	0.00024843	
29.000000	0.527813  	29.000000	0.534674  	29.000000	0.52618   	29.000000	0.527658  	29.000000	0.534441  	29.000000	0.00023291	
31.000000	0.500881  	31.000000	0.507093  	31.000000	0.499997  	31.000000	0.501209  	31.000000	0.506874  	31.000000	0.000219291	
33.000000	0.476917  	33.000000	0.482529  	33.000000	0.476067  	33.000000	0.477032  	33.000000	0.482322  	33.000000	0.000207241	
35.000000	0.455446  	35.000000	0.460507  	35.000000	0.454621  	35.000000	0.455371  	35.000000	0.460311  	35.000000	0.000196499	
38.000000	0.427111  	38.000000	0.431432  	38.000000	0.426306  	38.000000	0.426781  	38.000000	0.43125   	38.000000	0.000182403	
41.000000	0.402571  	41.000000	0.406248  	41.000000	0.401781  	41.000000	0.40202   	41.000000	0.406077  	41.000000	0.000170269	
44.000000	0.381097  	44.000000	0.384214  	44.000000	0.380253  	44.000000	0.380353  	44.000000	0.384054  	44.000000	0.00015971	
47.000000	0.362137  	47.000000	0.364768  	47.000000	0.361274  	47.000000	0.361225  	47.000000	0.364618  	47.000000	0.000150435	
50.000000	0.345265  	50.000000	0.347475  	50.000000	0.344374  	50.000000	0.344206  	50.000000	0.347332  	50.000000	0.000142219	
55.000000	0.320909  	55.000000	0.322537  	55.000000	0.319933  	55.000000	0.319647  	55.000000	0.322407  	55.000000	0.000130424	
60.000000	0.300295  	60.000000	0.301464  	60.000000	0.299249  	60.000000	0.298872  	60.000000	0.301343  	60.000000	0.000120504	
65.000000	0.282605  	65.000000	0.283412  	65.000000	0.281476  	65.000000	0.281057  	65.000000	0.2833    	65.000000	0.000112041	
