Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	2.25447   	0.001000	2.25447   	0.001000	2.29063   	0.001000	2.29063   	0.001000	1.19397   	0.001000	1.06051   	
0.002000	2.35037   	0.002000	2.35037   	0.002000	2.42448   	0.002000	2.42448   	0.002000	1.54838   	0.002000	0.801987  	
0.005000	2.67466   	0.005000	2.67466   	0.005000	2.83967   	0.005000	2.83967   	0.005000	2.18326   	0.005000	0.491397  	
0.008000	2.97054   	0.008000	2.97054   	0.008000	3.20996   	0.008000	3.20996   	0.008000	2.60406   	0.008000	0.366483  	
0.010000	3.14763   	0.010000	3.14763   	0.010000	3.43147   	0.010000	3.43147   	0.010000	2.83134   	0.010000	0.316289  	
0.015000	3.56834   	0.015000	3.56834   	0.015000	3.88775   	0.015000	3.88775   	0.015000	3.3301    	0.015000	0.238236  	
0.020000	3.93947   	0.020000	3.93947   	0.020000	4.31316   	0.020000	4.31316   	0.020000	3.74646   	0.020000	0.193012  	
0.025000	4.36713   	0.025000	4.36713   	0.025000	4.72901   	0.025000	4.72901   	0.025000	4.20323   	0.025000	0.163897  	
0.030000	4.77221   	0.030000	4.77221   	0.030000	5.17071   	0.030000	5.17071   	0.030000	4.62917   	0.030000	0.14304   	
0.035000	5.1551    	0.035000	5.1551    	0.035000	5.59137   	0.035000	5.59137   	0.035000	5.02782   	0.035000	0.127287  	
0.040000	5.51601   	0.040000	5.51601   	0.040000	5.99089   	0.040000	5.99089   	0.040000	5.40109   	0.040000	0.114924  	
0.045000	5.85511   	0.045000	5.85511   	0.045000	6.36933   	0.045000	6.36933   	0.045000	5.75017   	0.045000	0.104937  	
0.050000	6.17254   	0.050000	6.17254   	0.050000	6.72682   	0.050000	6.72682   	0.050000	6.07586   	0.050000	0.0966829 	
0.055000	6.52055   	0.055000	6.52055   	0.055000	7.06362   	0.055000	7.06362   	0.055000	6.43081   	0.055000	0.0897355 	
0.060000	6.85176   	0.060000	6.85176   	0.060000	7.38007   	0.060000	7.38007   	0.060000	6.76796   	0.060000	0.0837989 	
0.070000	7.46349   	0.070000	7.46349   	0.070000	7.95371   	0.070000	7.95371   	0.070000	7.38932   	0.070000	0.0741682 	
0.080000	7.99986   	0.080000	7.99986   	0.080000	8.45209   	0.080000	8.45209   	0.080000	7.93319   	0.080000	0.0666713 	
0.090000	8.47556   	0.090000	8.47556   	0.090000	8.88053   	0.090000	8.88053   	0.090000	8.41491   	0.090000	0.0606543 	
0.100000	8.90006   	0.100000	8.90006   	0.100000	9.24489   	0.100000	9.24489   	0.100000	8.84435   	0.100000	0.0557088 	
0.120000	9.59027   	0.120000	9.59027   	0.120000	9.80586   	0.120000	9.80586   	0.120000	9.54223   	0.120000	0.0480388 	
0.140000	10.0783   	0.140000	10.0783   	0.140000	10.1827   	0.140000	10.1827   	0.140000	10.036    	0.140000	0.0423465 	
0.160000	10.3929   	0.160000	10.3929   	0.160000	10.4182   	0.160000	10.4182   	0.160000	10.355    	0.160000	0.0379402 	
0.180000	10.5472   	0.180000	10.5472   	0.180000	10.548    	0.180000	10.548    	0.180000	10.5128   	0.180000	0.0344201 	
0.200000	10.6214   	0.200000	10.6214   	0.200000	10.6004   	0.200000	10.6004   	0.200000	10.5898   	0.200000	0.031538  	
0.250000	10.5335   	0.250000	10.5335   	0.250000	10.5236   	0.250000	10.5236   	0.250000	10.5073   	0.250000	0.0261791 	
0.300000	10.4597   	0.300000	10.4597   	0.300000	10.3024   	0.300000	10.3024   	0.300000	10.4373   	0.300000	0.0224619 	
0.350000	10.3653   	0.350000	10.3653   	0.350000	10.036    	0.350000	10.036    	0.350000	10.3456   	0.350000	0.0197212 	
0.400000	10.179    	0.400000	10.179    	0.400000	9.78203   	0.400000	9.78203   	0.400000	10.1614   	0.400000	0.0176108 	
0.450000	9.98366   	0.450000	9.98366   	0.450000	9.60288   	0.450000	9.60288   	0.450000	9.96772   	0.450000	0.0159323 	
0.500000	9.85065   	0.500000	9.85065   	0.500000	9.41557   	0.500000	9.41557   	0.500000	9.83609   	0.500000	0.014563  	
0.600000	9.38091   	0.600000	9.38091   	0.600000	9.04508   	0.600000	9.04508   	0.600000	9.36845   	0.600000	0.0124588 	
0.700000	8.95696   	0.700000	8.95696   	0.700000	8.67391   	0.700000	8.67391   	0.700000	8.94605   	0.700000	0.010913  	
0.800000	8.56281   	0.800000	8.56281   	0.800000	8.33092   	0.800000	8.33092   	0.800000	8.55308   	0.800000	0.00972633	
0.900000	8.19859   	0.900000	8.19859   	0.900000	8.01791   	0.900000	8.01791   	0.900000	8.18981   	0.900000	0.00878472	
1.000000	7.85851   	1.000000	7.85851   	1.000000	7.72985   	1.000000	7.72985   	1.000000	7.85049   	1.000000	0.00801823	
1.250000	7.23978   	1.250000	7.23978   	1.250000	7.08585   	1.250000	7.08585   	1.250000	7.23318   	1.250000	0.00660433	
1.500000	6.64355   	1.500000	6.64355   	1.500000	6.52176   	1.500000	6.52176   	1.500000	6.63792   	1.500000	0.0056328 	
1.750000	6.1533    	1.750000	6.1533    	1.750000	6.05212   	1.750000	6.05212   	1.750000	6.14837   	1.750000	0.00492174	
2.000000	5.70173   	2.000000	5.70173   	2.000000	5.65014   	2.000000	5.65014   	2.000000	5.69735   	2.000000	0.00437748	
2.250000	5.28725   	2.250000	5.28725   	2.250000	5.30022   	2.250000	5.30022   	2.250000	5.28331   	2.250000	0.00394673	
