Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.344814  	0.001000	0.344814  	0.001000	0.280896  	0.001000	0.280896  	0.001000	0.250788  	0.001000	0.094026  	
0.002000	0.439448  	0.002000	0.439448  	0.002000	0.356352  	0.002000	0.356352  	0.002000	0.347369  	0.002000	0.0920791 	
0.005000	0.612268  	0.005000	0.612268  	0.005000	0.495772  	0.005000	0.495772  	0.005000	0.534347  	0.005000	0.0779215 	
0.008000	0.733443  	0.008000	0.733443  	0.008000	0.595549  	0.008000	0.595549  	0.008000	0.666437  	0.008000	0.0670054 	
0.010000	0.801575  	0.010000	0.801575  	0.010000	0.652376  	0.010000	0.652376  	0.010000	0.740128  	0.010000	0.0614468 	
0.015000	0.946821  	0.015000	0.946821  	0.015000	0.775049  	0.015000	0.775049  	0.015000	0.895509  	0.015000	0.0513115 	
0.020000	1.06957   	0.020000	1.06957   	0.020000	0.880112  	0.020000	0.880112  	0.020000	1.02516   	0.020000	0.044413  	
0.025000	1.18076   	0.025000	1.18076   	0.025000	0.980155  	0.025000	0.980155  	0.025000	1.14139   	0.025000	0.0393696 	
0.030000	1.28521   	0.030000	1.28521   	0.030000	1.17492   	0.030000	1.17492   	0.030000	1.24971   	0.030000	0.0354955 	
0.035000	1.38514   	0.035000	1.38514   	0.035000	1.30909   	0.035000	1.30909   	0.035000	1.35273   	0.035000	0.0324106 	
0.040000	1.47873   	0.040000	1.47873   	0.040000	1.40866   	0.040000	1.40866   	0.040000	1.44885   	0.040000	0.0298864 	
0.045000	1.56549   	0.045000	1.56549   	0.045000	1.49246   	0.045000	1.49246   	0.045000	1.53772   	0.045000	0.0277764 	
0.050000	1.64555   	0.050000	1.64555   	0.050000	1.56852   	0.050000	1.56852   	0.050000	1.61957   	0.050000	0.0259821 	
0.055000	1.71928   	0.055000	1.71928   	0.055000	1.6396    	0.055000	1.6396    	0.055000	1.69485   	0.055000	0.0244345 	
0.060000	1.78714   	0.060000	1.78714   	0.060000	1.70651   	0.060000	1.70651   	0.060000	1.76405   	0.060000	0.0230839 	
0.070000	1.90701   	0.070000	1.90701   	0.070000	1.82854   	0.070000	1.82854   	0.070000	1.88617   	0.070000	0.0208347 	
0.080000	2.00842   	0.080000	2.00842   	0.080000	1.93534   	0.080000	1.93534   	0.080000	1.98938   	0.080000	0.0190308 	
0.090000	2.09409   	0.090000	2.09409   	0.090000	2.02785   	0.090000	2.02785   	0.090000	2.07654   	0.090000	0.0175474 	
0.100000	2.16884   	0.100000	2.16884   	0.100000	2.10736   	0.100000	2.10736   	0.100000	2.15253   	0.100000	0.016303  	
0.120000	2.28957   	0.120000	2.28957   	0.120000	2.23296   	0.120000	2.23296   	0.120000	2.27538   	0.120000	0.0141933 	
0.140000	2.37368   	0.140000	2.37368   	0.140000	2.32326   	0.140000	2.32326   	0.140000	2.36098   	0.140000	0.0127022 	
0.160000	2.43117   	0.160000	2.43117   	0.160000	2.38721   	0.160000	2.38721   	0.160000	2.41965   	0.160000	0.0115211 	
0.180000	2.4584    	0.180000	2.4584    	0.180000	2.43192   	0.180000	2.43192   	0.180000	2.44784   	0.180000	0.0105598 	
0.200000	2.4727    	0.200000	2.4727    	0.200000	2.46276   	0.200000	2.46276   	0.200000	2.46294   	0.200000	0.00976049	
0.250000	2.4846    	0.250000	2.4846    	0.250000	2.50221   	0.250000	2.50221   	0.250000	2.47636   	0.250000	0.00824329	
0.300000	2.5106    	0.300000	2.5106    	0.300000	2.51302   	0.300000	2.51302   	0.300000	2.50344   	0.300000	0.00716553	
0.350000	2.54828   	0.350000	2.54828   	0.350000	2.5107    	0.350000	2.5107    	0.350000	2.54192   	0.350000	0.00635648	
0.400000	2.5566    	0.400000	2.5566    	0.400000	2.50196   	0.400000	2.50196   	0.400000	2.55087   	0.400000	0.00572457	
0.450000	2.5518    	0.450000	2.5518    	0.450000	2.51213   	0.450000	2.51213   	0.450000	2.54658   	0.450000	0.00521604	
0.500000	2.55285   	0.500000	2.55285   	0.500000	2.5133    	0.500000	2.5133    	0.500000	2.54805   	0.500000	0.00479711	
0.600000	2.55566   	0.600000	2.55566   	0.600000	2.49753   	0.600000	2.49753   	0.600000	2.55151   	0.600000	0.00414565	
0.700000	2.54501   	0.700000	2.54501   	0.700000	2.46085   	0.700000	2.46085   	0.700000	2.54135   	0.700000	0.00366071	
0.800000	2.52162   	0.800000	2.52162   	0.800000	2.41591   	0.800000	2.41591   	0.800000	2.51833   	0.800000	0.00328445	
0.900000	2.49169   	0.900000	2.49169   	0.900000	2.36853   	0.900000	2.36853   	0.900000	2.4887    	0.900000	0.00298328	
1.000000	2.45885   	1.000000	2.45885   	1.000000	2.32011   	1.000000	2.32011   	1.000000	2.45611   	1.000000	0.00273629	
1.250000	2.34357   	1.250000	2.34357   	1.250000	2.19662   	1.250000	2.19662   	1.250000	2.34129   	1.250000	0.00227601	
1.500000	2.19149   	1.500000	2.19149   	1.500000	2.07219   	1.500000	2.07219   	1.500000	2.18953   	1.500000	0.0019559 	
1.750000	2.05964   	1.750000	2.05964   	1.750000	1.96289   	1.750000	1.96289   	1.750000	2.05792   	1.750000	0.0017194 	
2.000000	1.92601   	2.000000	1.92601   	2.000000	1.86506   	2.000000	1.86506   	2.000000	1.92447   	2.000000	0.00153701	
2.250000	1.81212   	2.250000	1.81212   	2.250000	1.77671   	2.250000	1.77671   	2.250000	1.81072   	2.250000	0.00139174	
2.500000	1.69089   	2.500000	1.71702   	2.500000	1.69651   	2.500000	1.69651   	2.500000	1.71575   	2.500000	0.0012731 	
3.000000	1.56116   	3.000000	1.5633    	3.000000	1.55663   	3.000000	1.55663   	3.000000	1.56221   	3.000000	0.00109053	
3.500000	1.44888   	3.500000	1.44056   	3.500000	1.43908   	3.500000	1.43908   	3.500000	1.4396    	3.500000	0.000956197	
4.000000	1.3517    	4.000000	1.33947   	4.000000	1.33916   	4.000000	1.33916   	4.000000	1.33862   	4.000000	0.000852938	
4.500000	1.26715   	4.500000	1.25418   	4.500000	1.25331   	4.500000	1.25331   	4.500000	1.25341   	4.500000	0.00077092	
5.000000	1.1931    	5.000000	1.18079   	5.000000	1.1788    	5.000000	1.1788    	5.000000	1.18009   	5.000000	0.000704096	
5.500000	1.12779   	5.500000	1.11676   	5.500000	1.11354   	5.500000	1.11354   	5.500000	1.11611   	5.500000	0.00064853	
6.000000	1.0698    	6.000000	1.06028   	6.000000	1.05591   	6.000000	1.05591   	6.000000	1.05968   	6.000000	0.000601552	
6.500000	1.01797   	6.500000	1.01002   	6.500000	1.00461   	6.500000	1.00461   	6.500000	1.00946   	6.500000	0.000561279	
7.000000	0.971375  	7.000000	0.964963  	7.000000	0.958656  	7.000000	0.958656  	7.000000	0.964437  	7.000000	0.000526346	
7.500000	0.929266  	7.500000	0.924305  	7.500000	0.917226  	7.500000	0.917226  	7.500000	0.923809  	7.500000	0.000495738	
8.000000	0.891017  	8.000000	0.887409  	8.000000	0.87967   	8.000000	0.87967   	8.000000	0.886941  	8.000000	0.000468686	
8.500000	0.856117  	8.500000	0.853759  	8.500000	0.845456  	8.500000	0.845456  	8.500000	0.853314  	8.500000	0.000444591	
9.000000	0.82414   	9.000000	0.822928  	9.000000	0.814143  	9.000000	0.814143  	9.000000	0.822505  	9.000000	0.000422986	
9.500000	0.794728  	9.500000	0.794564  	9.500000	0.785367  	9.500000	0.785367  	9.500000	0.794161  	9.500000	0.000403497	
10.000000	0.767581  	10.000000	0.773465  	10.000000	0.758823  	10.000000	0.758823  	10.000000	0.773079  	10.000000	0.000385821	
11.000000	0.719091  	11.000000	0.730988  	11.000000	0.713921  	11.000000	0.714699  	11.000000	0.730633  	11.000000	0.000354968	
12.000000	0.677031  	12.000000	0.692631  	12.000000	0.674706  	12.000000	0.675995  	12.000000	0.692302  	12.000000	0.00032892	
13.000000	0.64018   	13.000000	0.657989  	13.000000	0.640146  	13.000000	0.641764  	13.000000	0.657683  	13.000000	0.000306619	
14.000000	0.607607  	14.000000	0.626644  	14.000000	0.609424  	14.000000	0.611257  	14.000000	0.626357  	14.000000	0.000287297	
15.000000	0.578593  	15.000000	0.598204  	15.000000	0.581912  	15.000000	0.583885  	15.000000	0.597934  	15.000000	0.000270385	
16.000000	0.552572  	16.000000	0.572319  	16.000000	0.557143  	16.000000	0.559179  	16.000000	0.572064  	16.000000	0.000255451	
17.000000	0.529094  	17.000000	0.548683  	17.000000	0.53472   	17.000000	0.53676   	17.000000	0.548441  	17.000000	0.000242162	
18.000000	0.507795  	18.000000	0.52703   	18.000000	0.514285  	18.000000	0.516317  	18.000000	0.526799  	18.000000	0.000230256	
19.000000	0.488377  	19.000000	0.507129  	19.000000	0.495579  	19.000000	0.497594  	19.000000	0.50691   	19.000000	0.000219524	
20.000000	0.470595  	20.000000	0.488784  	20.000000	0.478411  	20.000000	0.480378  	20.000000	0.488575  	20.000000	0.000209797	
21.000000	0.454247  	21.000000	0.471823  	21.000000	0.462531  	21.000000	0.464424  	21.000000	0.471623  	21.000000	0.000200939	
22.000000	0.439161  	22.000000	0.456099  	22.000000	0.44783   	22.000000	0.449645  	22.000000	0.455906  	22.000000	0.000192836	
23.000000	0.425192  	23.000000	0.441482  	23.000000	0.434241  	23.000000	0.435984  	23.000000	0.441296  	23.000000	0.000185393	
24.000000	0.412218  	24.000000	0.427861  	24.000000	0.421585  	24.000000	0.423261  	24.000000	0.427682  	24.000000	0.000178532	
25.000000	0.400133  	25.000000	0.415138  	25.000000	0.40977   	25.000000	0.41138   	25.000000	0.414966  	25.000000	0.000172187	
27.000000	0.378278  	27.000000	0.392056  	27.000000	0.388365  	27.000000	0.389825  	27.000000	0.391895  	27.000000	0.000160821	
29.000000	0.359037  	29.000000	0.371667  	29.000000	0.3695    	29.000000	0.370776  	29.000000	0.371516  	29.000000	0.000150931	
31.000000	0.341954  	31.000000	0.353525  	31.000000	0.352144  	31.000000	0.353189  	31.000000	0.353382  	31.000000	0.000142241	
33.000000	0.326676  	33.000000	0.337277  	33.000000	0.336057  	33.000000	0.336889  	33.000000	0.337142  	33.000000	0.000134544	
35.000000	0.312925  	35.000000	0.32264   	35.000000	0.321606  	35.000000	0.322252  	35.000000	0.322512  	35.000000	0.000127675	
38.000000	0.294683  	38.000000	0.303215  	38.000000	0.302472  	38.000000	0.302882  	38.000000	0.303096  	38.000000	0.00011865	
41.000000	0.278793  	41.000000	0.286298  	41.000000	0.285847  	41.000000	0.286053  	41.000000	0.286187  	41.000000	0.000110871	
44.000000	0.264817  	44.000000	0.27143   	44.000000	0.271196  	44.000000	0.271283  	44.000000	0.271326  	44.000000	0.000104094	
47.000000	0.252419  	47.000000	0.258256  	47.000000	0.258248  	47.000000	0.258206  	47.000000	0.258158  	47.000000	9.8133e-05	
50.000000	0.241341  	50.000000	0.246501  	50.000000	0.246685  	50.000000	0.24654   	50.000000	0.246408  	50.000000	9.2848e-05	
55.000000	0.225268  	55.000000	0.229483  	55.000000	0.229897  	55.000000	0.22965   	55.000000	0.229398  	55.000000	8.52516e-05	
60.000000	0.211586  	60.000000	0.215042  	60.000000	0.215634  	60.000000	0.215309  	60.000000	0.214963  	60.000000	7.88539e-05	
65.000000	0.199787  	65.000000	0.202629  	65.000000	0.203331  	65.000000	0.202969  	65.000000	0.202556  	65.000000	7.33882e-05	
70.000000	0.189495  	70.000000	0.191841  	70.000000	0.192661  	70.000000	0.192232  	70.000000	0.191772  	70.000000	6.86621e-05	
75.000000	0.180434  	75.000000	0.182375  	75.000000	0.183241  	75.000000	0.182798  	75.000000	0.18231   	75.000000	6.45328e-05	
80.000000	0.172387  	80.000000	0.174     	80.000000	0.174923  	80.000000	0.17444   	80.000000	0.173939  	80.000000	6.08926e-05	
85.000000	0.16519   	85.000000	0.166535  	85.000000	0.167471  	85.000000	0.166982  	85.000000	0.166477  	85.000000	5.76582e-05	
90.000000	0.15871   	90.000000	0.159839  	90.000000	0.160802  	90.000000	0.160282  	90.000000	0.159784  	90.000000	5.47644e-05	
95.000000	0.152843  	95.000000	0.153797  	95.000000	0.154751  	95.000000	0.15423   	95.000000	0.153745  	95.000000	5.21594e-05	
100.000000	0.147503  	100.000000	0.148318  	100.000000	0.149256  	100.000000	0.148734  	100.000000	0.148268  	100.000000	4.98013e-05	
105.000000	0.14262   	105.000000	0.143325  	105.000000	0.144241  	105.000000	0.14372   	105.000000	0.143277  	105.000000	4.76562e-05	
110.000000	0.138136  	110.000000	0.138756  	110.000000	0.139667  	110.000000	0.139128  	110.000000	0.13871   	110.000000	4.56961e-05	
115.000000	0.134003  	115.000000	0.134559  	115.000000	0.13545   	115.000000	0.134904  	115.000000	0.134515  	115.000000	4.38977e-05	
120.000000	0.130179  	120.000000	0.130689  	120.000000	0.131548  	120.000000	0.131007  	120.000000	0.130647  	120.000000	4.22414e-05	
125.000000	0.126631  	125.000000	0.12711   	125.000000	0.127939  	125.000000	0.127399  	125.000000	0.127069  	125.000000	4.07109e-05	
130.000000	0.123328  	130.000000	0.12379   	130.000000	0.124587  	130.000000	0.124049  	130.000000	0.12375   	130.000000	3.92921e-05	
135.000000	0.120246  	135.000000	0.120701  	135.000000	0.121466  	135.000000	0.12093   	135.000000	0.120663  	135.000000	3.7973e-05	
140.000000	0.117361  	140.000000	0.11782   	140.000000	0.118554  	140.000000	0.118019  	140.000000	0.117783  	140.000000	3.67434e-05	
145.000000	0.114656  	145.000000	0.115126  	145.000000	0.115828  	145.000000	0.115296  	145.000000	0.115091  	145.000000	3.55943e-05	
150.000000	0.112113  	150.000000	0.112603  	150.000000	0.113273  	150.000000	0.112742  	150.000000	0.112568  	150.000000	3.4518e-05	
155.000000	0.108195  	155.000000	0.110233  	155.000000	0.110872  	155.000000	0.110344  	155.000000	0.110199  	155.000000	3.35076e-05	
160.000000	0.106086  	160.000000	0.108003  	160.000000	0.108613  	160.000000	0.108086  	160.000000	0.107971  	160.000000	3.25571e-05	
165.000000	0.104095  	165.000000	0.105902  	165.000000	0.106482  	165.000000	0.105957  	165.000000	0.105871  	165.000000	3.16614e-05	
170.000000	0.10221   	170.000000	0.103918  	170.000000	0.104469  	170.000000	0.103946  	170.000000	0.103887  	170.000000	3.08158e-05	
175.000000	0.100424  	175.000000	0.102042  	175.000000	0.102564  	175.000000	0.102044  	175.000000	0.102012  	175.000000	3.0016e-05	
180.000000	0.0987292 	180.000000	0.100265  	180.000000	0.10076   	180.000000	0.100242  	180.000000	0.100236  	180.000000	2.92585e-05	
185.000000	0.0971183 	185.000000	0.0985799 	185.000000	0.0990483 	185.000000	0.0985323 	185.000000	0.0985514 	185.000000	2.85399e-05	
190.000000	0.0955853 	190.000000	0.0969792 	190.000000	0.097422  	190.000000	0.0969079 	190.000000	0.0969513 	190.000000	2.78572e-05	
195.000000	0.0941246 	195.000000	0.0954569 	195.000000	0.0958749 	195.000000	0.0953629 	195.000000	0.0954297 	195.000000	2.72078e-05	
200.000000	0.0927312 	200.000000	0.0940074 	200.000000	0.0944015 	200.000000	0.0938915 	200.000000	0.0939808 	200.000000	2.65893e-05	
210.000000	0.0901279 	210.000000	0.0913068 	210.000000	0.0916558 	210.000000	0.0911496 	210.000000	0.0912813 	210.000000	2.54364e-05	
220.000000	0.0877434 	220.000000	0.088842  	220.000000	0.0891492 	220.000000	0.0886468 	220.000000	0.0888176 	220.000000	2.43832e-05	
230.000000	0.085551  	230.000000	0.0865835 	230.000000	0.0868524 	230.000000	0.0863535 	230.000000	0.0865601 	230.000000	2.34172e-05	
240.000000	0.0835282 	240.000000	0.0845067 	240.000000	0.0847397 	240.000000	0.0842447 	240.000000	0.0844841 	240.000000	2.25279e-05	
250.000000	0.0816559 	250.000000	0.0825904 	250.000000	0.0827927 	250.000000	0.0822995 	250.000000	0.0825687 	250.000000	2.17064e-05	
260.000000	0.0799179 	260.000000	0.080817  	260.000000	0.0809846 	260.000000	0.0804997 	260.000000	0.0807961 	260.000000	2.0945e-05	
270.000000	0.0783    	270.000000	0.0791713 	270.000000	0.0793034 	270.000000	0.0788301 	270.000000	0.079151  	270.000000	2.02374e-05	
280.000000	0.0767904 	280.000000	0.0776399 	280.000000	0.0777486 	280.000000	0.0772773 	280.000000	0.0776204 	280.000000	1.95779e-05	
290.000000	0.0753785 	290.000000	0.0762117 	290.000000	0.0762987 	290.000000	0.0758297 	290.000000	0.0761927 	290.000000	1.89618e-05	
300.000000	0.074055  	300.000000	0.0748766 	300.000000	0.0749435 	300.000000	0.0744774 	300.000000	0.0748582 	300.000000	1.83848e-05	
310.000000	0.0728122 	310.000000	0.0736259 	310.000000	0.0736752 	310.000000	0.0732114 	310.000000	0.0736081 	310.000000	1.78432e-05	
320.000000	0.0716427 	320.000000	0.0724521 	320.000000	0.0724856 	320.000000	0.0720241 	320.000000	0.0724348 	320.000000	1.7334e-05	
330.000000	0.0705404 	330.000000	0.0713484 	330.000000	0.0713674 	330.000000	0.0709085 	330.000000	0.0713316 	330.000000	1.68541e-05	
340.000000	0.0694998 	340.000000	0.0703089 	340.000000	0.0703157 	340.000000	0.0698587 	340.000000	0.0702925 	340.000000	1.64012e-05	
350.000000	0.0685158 	350.000000	0.0693282 	350.000000	0.0693249 	350.000000	0.0688691 	350.000000	0.0693122 	350.000000	1.5973e-05	
