Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	5.94299   	0.001000	5.94299   	0.001000	5.13751   	0.001000	5.13751   	0.001000	3.06156   	0.001000	2.88143   	
0.002000	6.13304   	0.002000	6.13304   	0.002000	5.35322   	0.002000	5.35322   	0.002000	3.97036   	0.002000	2.16268   	
0.005000	6.913     	0.005000	6.913     	0.005000	6.35932   	0.005000	6.35932   	0.005000	5.59831   	0.005000	1.31469   	
0.008000	7.65475   	0.008000	7.65475   	0.008000	7.35844   	0.008000	7.35844   	0.008000	6.67732   	0.008000	0.977437  	
0.010000	8.10259   	0.010000	8.10259   	0.010000	7.97665   	0.010000	7.97665   	0.010000	7.26011   	0.010000	0.842483  	
0.015000	9.55554   	0.015000	9.55554   	0.015000	9.13513   	0.015000	9.13513   	0.015000	8.9255    	0.015000	0.630037  	
0.020000	11.2736   	0.020000	11.2736   	0.020000	10.117    	0.020000	10.117    	0.020000	10.7612   	0.020000	0.512445  	
0.025000	12.9268   	0.025000	12.9268   	0.025000	11.0792   	0.025000	11.0792   	0.025000	12.492    	0.025000	0.434726  	
0.030000	14.5144   	0.030000	14.5144   	0.030000	12.3425   	0.030000	12.3425   	0.030000	14.1353   	0.030000	0.379137  	
0.035000	16.0318   	0.035000	16.0318   	0.035000	13.5447   	0.035000	13.5447   	0.035000	15.6946   	0.035000	0.337197  	
0.040000	17.4732   	0.040000	17.4732   	0.040000	14.6843   	0.040000	14.6843   	0.040000	17.1689   	0.040000	0.304312  	
0.045000	18.8329   	0.045000	18.8329   	0.045000	15.7603   	0.045000	15.7603   	0.045000	18.5552   	0.045000	0.277763  	
0.050000	20.1062   	0.050000	20.1062   	0.050000	16.7724   	0.050000	16.7724   	0.050000	19.8503   	0.050000	0.255834  	
0.055000	21.2891   	0.055000	21.2891   	0.055000	17.7208   	0.055000	17.7208   	0.055000	21.0517   	0.055000	0.237386  	
0.060000	22.3789   	0.060000	22.3789   	0.060000	18.6062   	0.060000	18.6062   	0.060000	22.1573   	0.060000	0.221628  	
0.070000	24.2753   	0.070000	24.2753   	0.070000	20.1931   	0.070000	20.1931   	0.070000	24.0792   	0.070000	0.196078  	
0.080000	25.7994   	0.080000	25.7994   	0.080000	21.5466   	0.080000	21.5466   	0.080000	25.6232   	0.080000	0.1762    	
0.090000	26.9925   	0.090000	26.9925   	0.090000	22.6846   	0.090000	22.6846   	0.090000	26.8322   	0.090000	0.160254  	
0.100000	27.9033   	0.100000	27.9033   	0.100000	23.6272   	0.100000	23.6272   	0.100000	27.7561   	0.100000	0.147153  	
0.120000	28.924    	0.120000	28.924    	0.120000	25.0102   	0.120000	25.0102   	0.120000	28.7972   	0.120000	0.126844  	
0.140000	29.1696   	0.140000	29.1696   	0.140000	25.857    	0.140000	25.857    	0.140000	29.0578   	0.140000	0.111779  	
0.160000	28.9062   	0.160000	28.9062   	0.160000	26.3073   	0.160000	26.3073   	0.160000	28.8061   	0.160000	0.100122  	
0.180000	28.2967   	0.180000	28.2967   	0.180000	26.4729   	0.180000	26.4729   	0.180000	28.2059   	0.180000	0.0908137 	
0.200000	27.6117   	0.200000	27.6117   	0.200000	26.4393   	0.200000	26.4393   	0.200000	27.5285   	0.200000	0.0831942 	
0.250000	25.96     	0.250000	25.96     	0.250000	25.8573   	0.250000	25.8573   	0.250000	25.891    	0.250000	0.0690324 	
0.300000	24.98     	0.300000	24.98     	0.300000	24.9731   	0.300000	24.9731   	0.300000	24.9207   	0.300000	0.0592135 	
0.350000	24.3019   	0.350000	24.3019   	0.350000	24.0345   	0.350000	24.0345   	0.350000	24.2499   	0.350000	0.0519767 	
0.400000	23.593    	0.400000	23.593    	0.400000	23.1744   	0.400000	23.1744   	0.400000	23.5466   	0.400000	0.046406  	
0.450000	22.9505   	0.450000	22.9505   	0.450000	22.5263   	0.450000	22.5263   	0.450000	22.9085   	0.450000	0.0419762 	
0.500000	22.4855   	0.500000	22.4855   	0.500000	21.8898   	0.500000	21.8898   	0.500000	22.4472   	0.500000	0.0383633 	
