Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.793204  	0.001000	0.793204  	0.001000	0.817227  	0.001000	0.817227  	0.001000	0.402174  	0.001000	0.39103   	
0.002000	0.882581  	0.002000	0.882581  	0.002000	0.928255  	0.002000	0.928255  	0.002000	0.557055  	0.002000	0.325526  	
0.005000	1.07867   	0.005000	1.07867   	0.005000	1.17476   	0.005000	1.17476   	0.005000	0.856899  	0.005000	0.221772  	
0.008000	1.24136   	0.008000	1.24136   	0.008000	1.37808   	0.008000	1.37808   	0.008000	1.06873   	0.008000	0.172633  	
0.010000	1.33855   	0.010000	1.33855   	0.010000	1.49938   	0.010000	1.49938   	0.010000	1.1869    	0.010000	0.151653  	
0.015000	1.57799   	0.015000	1.57799   	0.015000	1.77917   	0.015000	1.77917   	0.015000	1.45996   	0.015000	0.118025  	
0.020000	1.90061   	0.020000	1.90061   	0.020000	2.08274   	0.020000	2.08274   	0.020000	1.80286   	0.020000	0.0977563 	
0.025000	2.21665   	0.025000	2.21665   	0.025000	2.38231   	0.025000	2.38231   	0.025000	2.13263   	0.025000	0.0840164 	
0.030000	2.51688   	0.030000	2.51688   	0.030000	2.5569    	0.030000	2.5569    	0.030000	2.44288   	0.030000	0.0740045 	
0.035000	2.79649   	0.035000	2.79649   	0.035000	2.73538   	0.035000	2.73538   	0.035000	2.73077   	0.035000	0.0657281 	
0.040000	3.05516   	0.040000	3.05516   	0.040000	2.91654   	0.040000	2.91654   	0.040000	2.99544   	0.040000	0.0597197 	
0.045000	3.29196   	0.045000	3.29196   	0.045000	3.09765   	0.045000	3.09765   	0.045000	3.23714   	0.045000	0.054815  	
0.050000	3.50746   	0.050000	3.50746   	0.050000	3.27699   	0.050000	3.27699   	0.050000	3.45673   	0.050000	0.050727  	
0.055000	3.70273   	0.055000	3.70273   	0.055000	3.45303   	0.055000	3.45303   	0.055000	3.65547   	0.055000	0.0472614 	
0.060000	3.87908   	0.060000	3.87908   	0.060000	3.62445   	0.060000	3.62445   	0.060000	3.8348    	0.060000	0.0442819 	
0.070000	4.18088   	0.070000	4.18088   	0.070000	3.94907   	0.070000	3.94907   	0.070000	4.14146   	0.070000	0.0394122 	
0.080000	4.42451   	0.080000	4.42451   	0.080000	4.24379   	0.080000	4.24379   	0.080000	4.38892   	0.080000	0.0355894 	
0.090000	4.62283   	0.090000	4.62283   	0.090000	4.50427   	0.090000	4.50427   	0.090000	4.59033   	0.090000	0.0325005 	
0.100000	4.79017   	0.100000	4.79017   	0.100000	4.72864   	0.100000	4.72864   	0.100000	4.76022   	0.100000	0.0299472 	
0.120000	5.03417   	0.120000	5.03417   	0.120000	5.07143   	0.120000	5.07143   	0.120000	5.00821   	0.120000	0.0259607 	
0.140000	5.19236   	0.140000	5.19236   	0.140000	5.28965   	0.140000	5.28965   	0.140000	5.16938   	0.140000	0.0229802 	
0.160000	5.28852   	0.160000	5.28852   	0.160000	5.41117   	0.160000	5.41117   	0.160000	5.26786   	0.160000	0.0206595 	
0.180000	5.32591   	0.180000	5.32591   	0.180000	5.46392   	0.180000	5.46392   	0.180000	5.30711   	0.180000	0.0187967 	
0.200000	5.34291   	0.200000	5.34291   	0.200000	5.47101   	0.200000	5.47101   	0.200000	5.32564   	0.200000	0.0172654 	
0.250000	5.33244   	0.250000	5.33244   	0.250000	5.38915   	0.250000	5.38915   	0.250000	5.31804   	0.250000	0.0144026 	
0.300000	5.35865   	0.300000	5.35865   	0.300000	5.26356   	0.300000	5.26356   	0.300000	5.34624   	0.300000	0.0124041 	
0.350000	5.37653   	0.350000	5.37653   	0.350000	5.14156   	0.350000	5.14156   	0.350000	5.3656    	0.350000	0.0109233 	
0.400000	5.33299   	0.400000	5.33299   	0.400000	5.04064   	0.400000	5.04064   	0.400000	5.32321   	0.400000	0.00977864	
0.450000	5.26733   	0.450000	5.26733   	0.450000	4.98647   	0.450000	4.98647   	0.450000	5.25846   	0.450000	0.00886521	
0.500000	5.21874   	0.500000	5.21874   	0.500000	4.92955   	0.500000	4.92955   	0.500000	5.21062   	0.500000	0.00811804	
0.600000	5.11082   	0.600000	5.11082   	0.600000	4.81187   	0.600000	4.81187   	0.600000	5.10385   	0.600000	0.00696598	
0.700000	4.98831   	0.700000	4.98831   	0.700000	4.67998   	0.700000	4.67998   	0.700000	4.98219   	0.700000	0.00611646	
0.800000	4.85213   	0.800000	4.85213   	0.800000	4.54923   	0.800000	4.54923   	0.800000	4.84667   	0.800000	0.00546228	
0.900000	4.71633   	0.900000	4.71633   	0.900000	4.42335   	0.900000	4.42335   	0.900000	4.71139   	0.900000	0.0049419 	
1.000000	4.58344   	1.000000	4.58344   	1.000000	4.30212   	1.000000	4.30212   	1.000000	4.57892   	1.000000	0.00451739	
1.250000	4.23881   	1.250000	4.23881   	1.250000	4.01345   	1.250000	4.01345   	1.250000	4.23508   	1.250000	0.00373196	
1.500000	3.89421   	1.500000	3.89421   	1.500000	3.74352   	1.500000	3.74352   	1.500000	3.89102   	1.500000	0.00319034	
1.750000	3.60815   	1.750000	3.60815   	1.750000	3.51169   	1.750000	3.51169   	1.750000	3.60535   	1.750000	0.00279283	
2.000000	3.34275   	2.000000	3.34275   	2.000000	3.30848   	2.000000	3.30848   	2.000000	3.34026   	2.000000	0.00248788	
2.250000	3.11983   	2.250000	3.11983   	2.250000	3.12825   	2.250000	3.12825   	2.250000	3.11758   	2.250000	0.00224606	
2.500000	3.02851   	2.500000	2.93331   	2.500000	2.96714   	2.500000	2.96714   	2.500000	2.93126   	2.500000	0.00204933	
3.000000	2.73429   	3.000000	2.63433   	3.000000	2.69124   	3.000000	2.69124   	3.000000	2.63258   	3.000000	0.00174796	
3.500000	2.49316   	3.500000	2.40023   	3.500000	2.46383   	3.500000	2.46383   	3.500000	2.39871   	3.500000	0.00152738	
4.000000	2.29253   	4.000000	2.21088   	4.000000	2.27338   	4.000000	2.27338   	4.000000	2.20952   	4.000000	0.00135853	
4.500000	2.12319   	4.500000	2.05367   	4.500000	2.11167   	4.500000	2.11167   	4.500000	2.05244   	4.500000	0.00122489	
5.000000	1.97844   	5.000000	1.92031   	5.000000	1.97271   	5.000000	1.97271   	5.000000	1.91919   	5.000000	0.00111634	
5.500000	1.8533    	5.500000	1.80538   	5.500000	1.85201   	5.500000	1.85201   	5.500000	1.80435   	5.500000	0.00102631	
6.000000	1.74404   	6.000000	1.70507   	6.000000	1.74619   	6.000000	1.74619   	6.000000	1.70412   	6.000000	0.000950376	
6.500000	1.6478    	6.500000	1.61664   	6.500000	1.65263   	6.500000	1.65263   	6.500000	1.61576   	6.500000	0.000885413	
7.000000	1.56238   	7.000000	1.538     	7.000000	1.56929   	7.000000	1.56929   	7.000000	1.53717   	7.000000	0.00082917	
7.500000	1.48602   	7.500000	1.46756   	7.500000	1.49458   	7.500000	1.49458   	7.500000	1.46678   	7.500000	0.000779976	
8.000000	1.41736   	8.000000	1.40404   	8.000000	1.42719   	8.000000	1.42719   	8.000000	1.4033    	8.000000	0.000736562	
8.500000	1.35526   	8.500000	1.34645   	8.500000	1.36608   	8.500000	1.36608   	8.500000	1.34575   	8.500000	0.000697951	
9.000000	1.29882   	9.000000	1.29396   	9.000000	1.3104    	9.000000	1.3104    	9.000000	1.29329   	9.000000	0.000663376	
9.500000	1.2473    	9.500000	1.2459    	9.500000	1.25944   	9.500000	1.25944   	9.500000	1.24527   	9.500000	0.000632225	
10.000000	1.20005   	10.000000	1.21329   	10.000000	1.21262   	10.000000	1.21262   	10.000000	1.21269   	10.000000	0.000604006	
11.000000	1.11643   	11.000000	1.13225   	11.000000	1.12878   	11.000000	1.12968   	11.000000	1.13169   	11.000000	0.000554826	
12.000000	1.04467   	12.000000	1.06177   	12.000000	1.05649   	12.000000	1.058     	12.000000	1.06126   	12.000000	0.000513385	
13.000000	0.98239   	13.000000	0.999969  	13.000000	0.993512  	13.000000	0.995397  	13.000000	0.999491  	13.000000	0.000477966	
14.000000	0.927795  	14.000000	0.945348  	14.000000	0.938112  	14.000000	0.940247  	14.000000	0.9449    	14.000000	0.000447326	
15.000000	0.879524  	15.000000	0.896739  	15.000000	0.88898   	15.000000	0.891279  	15.000000	0.896319  	15.000000	0.000420546	
16.000000	0.836523  	16.000000	0.853209  	16.000000	0.845127  	16.000000	0.847499  	16.000000	0.852812  	16.000000	0.000396929	
17.000000	0.797958  	17.000000	0.814004  	17.000000	0.805742  	17.000000	0.808118  	17.000000	0.813628  	17.000000	0.000375939	
