Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	1.04542   	0.001000	1.04542   	0.001000	1.13026   	0.001000	1.13026   	0.001000	0.532916  	0.001000	0.512503  	
0.002000	1.11823   	0.002000	1.11823   	0.002000	1.22522   	0.002000	1.22522   	0.002000	0.708647  	0.002000	0.409584  	
0.005000	1.30144   	0.005000	1.30144   	0.005000	1.44907   	0.005000	1.44907   	0.005000	1.03451   	0.005000	0.266928  	
0.008000	1.46111   	0.008000	1.46111   	0.008000	1.63664   	0.008000	1.63664   	0.008000	1.25696   	0.008000	0.20415   	
0.010000	1.55701   	0.010000	1.55701   	0.010000	1.74797   	0.010000	1.74797   	0.010000	1.37896   	0.010000	0.178046  	
0.015000	1.80382   	0.015000	1.80382   	0.015000	2.02975   	0.015000	2.02975   	0.015000	1.66684   	0.015000	0.13698   	
0.020000	2.14566   	0.020000	2.14566   	0.020000	2.37529   	0.020000	2.37529   	0.020000	2.03345   	0.020000	0.112206  	
0.025000	2.48141   	0.025000	2.48141   	0.025000	2.7176    	0.025000	2.7176    	0.025000	2.38543   	0.025000	0.0959817 	
0.030000	2.80537   	0.030000	2.80537   	0.030000	2.98697   	0.030000	2.98697   	0.030000	2.72114   	0.030000	0.0842381 	
0.035000	3.11341   	0.035000	3.11341   	0.035000	3.24053   	0.035000	3.24053   	0.035000	3.0385    	0.035000	0.0749054 	
0.040000	3.40373   	0.040000	3.40373   	0.040000	3.47917   	0.040000	3.47917   	0.040000	3.33584   	0.040000	0.0678858 	
0.045000	3.67425   	0.045000	3.67425   	0.045000	3.70262   	0.045000	3.70262   	0.045000	3.61206   	0.045000	0.0621805 	
0.050000	3.92413   	0.050000	3.92413   	0.050000	3.91119   	0.050000	3.91119   	0.050000	3.86668   	0.050000	0.0574419 	
0.055000	4.15319   	0.055000	4.15319   	0.055000	4.10532   	0.055000	4.10532   	0.055000	4.09976   	0.055000	0.0534365 	
0.060000	4.3618    	0.060000	4.3618    	0.060000	4.28551   	0.060000	4.28551   	0.060000	4.3118    	0.060000	0.0500015 	
0.070000	4.7209    	0.070000	4.7209    	0.070000	4.60652   	0.070000	4.60652   	0.070000	4.6765    	0.070000	0.0444045 	
0.080000	5.0102    	0.080000	5.0102    	0.080000	4.87952   	0.080000	4.87952   	0.080000	4.97018   	0.080000	0.0400258 	
0.090000	5.24349   	0.090000	5.24349   	0.090000	5.11014   	0.090000	5.11014   	0.090000	5.20699   	0.090000	0.0364972 	
0.100000	5.43508   	0.100000	5.43508   	0.100000	5.30394   	0.100000	5.30394   	0.100000	5.4015    	0.100000	0.0335872 	
0.120000	5.70326   	0.120000	5.70326   	0.120000	5.60118   	0.120000	5.60118   	0.120000	5.67421   	0.120000	0.029056  	
0.140000	5.86545   	0.140000	5.86545   	0.140000	5.80599   	0.140000	5.80599   	0.140000	5.83977   	0.140000	0.0256781 	
