Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.206423  	0.001000	0.0984416 	0.001000	0.123225  	0.001000	0.123225  	0.001000	0.0772975 	0.001000	0.0211441 	
0.002000	0.24593   	0.002000	0.121286  	0.002000	0.155141  	0.002000	0.155141  	0.002000	0.105592  	0.002000	0.0156941 	
0.005000	0.32298   	0.005000	0.168929  	0.005000	0.220061  	0.005000	0.220061  	0.005000	0.159478  	0.005000	0.00945018	
0.008000	0.375814  	0.008000	0.204044  	0.008000	0.26722   	0.008000	0.26722   	0.008000	0.197041  	0.008000	0.00700328	
0.010000	0.40462   	0.010000	0.223883  	0.010000	0.293731  	0.010000	0.293731  	0.010000	0.217854  	0.010000	0.00602873	
0.015000	0.488016  	0.015000	0.276405  	0.015000	0.34981   	0.015000	0.34981   	0.015000	0.271886  	0.015000	0.00451931	
0.020000	0.556346  	0.020000	0.321493  	0.020000	0.396668  	0.020000	0.396668  	0.020000	0.317838  	0.020000	0.00365492	
0.025000	0.612858  	0.025000	0.360535  	0.025000	0.437625  	0.025000	0.437625  	0.025000	0.357437  	0.025000	0.00309822	
0.030000	0.659287  	0.030000	0.394302  	0.030000	0.46193   	0.030000	0.46193   	0.030000	0.391602  	0.030000	0.00270052	
0.035000	0.696776  	0.035000	0.423347  	0.035000	0.482083  	0.035000	0.482083  	0.035000	0.420946  	0.035000	0.00240073	
0.040000	0.726226  	0.040000	0.448119  	0.040000	0.498774  	0.040000	0.498774  	0.040000	0.445953  	0.040000	0.00216583	
0.045000	0.748445  	0.045000	0.469026  	0.045000	0.512522  	0.045000	0.512522  	0.045000	0.46705   	0.045000	0.00197629	
0.050000	0.764212  	0.050000	0.486456  	0.050000	0.523735  	0.050000	0.523735  	0.050000	0.484636  	0.050000	0.00181981	
0.055000	0.774294  	0.055000	0.500778  	0.055000	0.53275   	0.055000	0.53275   	0.055000	0.49909   	0.055000	0.00168821	
0.060000	0.779447  	0.060000	0.512345  	0.060000	0.539853  	0.060000	0.539853  	0.060000	0.510769  	0.060000	0.00157584	
0.070000	0.777842  	0.070000	0.528522  	0.070000	0.549276  	0.070000	0.549276  	0.070000	0.527128  	0.070000	0.00139372	
0.080000	0.764696  	0.080000	0.537345  	0.080000	0.55362   	0.080000	0.55362   	0.080000	0.536093  	0.080000	0.0012521 	
0.090000	0.744373  	0.090000	0.540738  	0.090000	0.554139  	0.090000	0.554139  	0.090000	0.539599  	0.090000	0.00113853	
0.100000	0.720179  	0.100000	0.540201  	0.100000	0.551805  	0.100000	0.551805  	0.100000	0.539155  	0.100000	0.00104525	
0.120000	0.668683  	0.120000	0.531579  	0.120000	0.54141   	0.120000	0.54141   	0.120000	0.530678  	0.120000	0.00090071	
0.140000	0.620388  	0.140000	0.517425  	0.140000	0.526589  	0.140000	0.526589  	0.140000	0.516631  	0.140000	0.000793538	
0.160000	0.578462  	0.160000	0.500899  	0.160000	0.509747  	0.160000	0.509747  	0.160000	0.500189  	0.160000	0.000710642	
0.180000	0.543039  	0.180000	0.483665  	0.180000	0.492249  	0.180000	0.492249  	0.180000	0.483021  	0.180000	0.000644459	
0.200000	0.513233  	0.200000	0.466593  	0.200000	0.474857  	0.200000	0.474857  	0.200000	0.466003  	0.200000	0.000590299	
0.250000	0.45663   	0.250000	0.427004  	0.250000	0.434069  	0.250000	0.434069  	0.250000	0.426515  	0.250000	0.000489668	
0.300000	0.416269  	0.300000	0.39301   	0.300000	0.398452  	0.300000	0.398452  	0.300000	0.39259   	0.300000	0.000419924	
0.350000	0.385279  	0.350000	0.364264  	0.350000	0.367958  	0.350000	0.367958  	0.350000	0.363895  	0.350000	0.000368535	
0.400000	0.360148  	0.400000	0.339877  	0.400000	0.341933  	0.400000	0.341933  	0.400000	0.339548  	0.400000	0.000328987	
0.450000	0.338997  	0.450000	0.318998  	0.450000	0.319648  	0.450000	0.319648  	0.450000	0.318701  	0.450000	0.000297543	
0.500000	0.320742  	0.500000	0.300928  	0.500000	0.300442  	0.500000	0.300442  	0.500000	0.300657  	0.500000	0.000271904	
0.600000	0.290438  	0.600000	0.271168  	0.600000	0.26916   	0.600000	0.26916   	0.600000	0.270935  	0.600000	0.00023252	
0.700000	0.266013  	0.700000	0.247576  	0.700000	0.24481   	0.700000	0.24481   	0.700000	0.247373  	0.700000	0.000203603	
0.800000	0.245754  	0.800000	0.228326  	0.800000	0.225284  	0.800000	0.225284  	0.800000	0.228144  	0.800000	0.000181412	
0.900000	0.228612  	0.900000	0.212257  	0.900000	0.209222  	0.900000	0.209222  	0.900000	0.212093  	0.900000	0.00016381	
1.000000	0.213886  	1.000000	0.1986    	1.000000	0.195724  	1.000000	0.195724  	1.000000	0.198451  	1.000000	0.000149487	
1.250000	0.184698  	1.250000	0.171875  	1.250000	0.169632  	1.250000	0.169632  	1.250000	0.171752  	1.250000	0.000123075	
1.500000	0.162953  	1.500000	0.152195  	1.500000	0.150585  	1.500000	0.150585  	1.500000	0.15209   	1.500000	0.000104936	
1.750000	0.146074  	1.750000	0.13701   	1.750000	0.135917  	1.750000	0.135917  	1.750000	0.136918  	1.750000	9.16652e-05	
2.000000	0.13256   	2.000000	0.124889  	2.000000	0.124192  	2.000000	0.124192  	2.000000	0.124807  	2.000000	8.15107e-05	
2.250000	0.121479  	2.250000	0.11496   	2.250000	0.114561  	2.250000	0.114561  	2.250000	0.114886  	2.250000	7.34762e-05	
2.500000	0.11173   	2.500000	0.106659  	2.500000	0.106482  	2.500000	0.106482  	2.500000	0.106592  	2.500000	6.69515e-05	
3.000000	0.0975606 	3.000000	0.0935222 	3.000000	0.0936319 	3.000000	0.0936319 	3.000000	0.0934653 	3.000000	5.69796e-05	
3.500000	0.0868065 	3.500000	0.0835537 	3.500000	0.0838193 	3.500000	0.0838193 	3.500000	0.083504  	3.500000	4.96997e-05	
4.000000	0.0783425 	4.000000	0.0757009 	4.000000	0.0760478 	4.000000	0.0760478 	4.000000	0.0756568 	4.000000	4.41391e-05	
4.500000	0.0714933 	4.500000	0.0693367 	4.500000	0.0697213 	4.500000	0.0697213 	4.500000	0.069297  	4.500000	3.97458e-05	
5.000000	0.0658281 	5.000000	0.0640626 	5.000000	0.064459  	5.000000	0.064459  	5.000000	0.0640264 	5.000000	3.61827e-05	
5.500000	0.0610583 	5.500000	0.0596125 	5.500000	0.0600053 	5.500000	0.0600053 	5.500000	0.0595793 	5.500000	3.32317e-05	
6.000000	0.056983  	6.000000	0.0558016 	6.000000	0.0561817 	6.000000	0.0561817 	6.000000	0.0557709 	6.000000	3.07456e-05	
6.500000	0.0534578 	6.500000	0.0524974 	6.500000	0.0528593 	6.500000	0.0528593 	6.500000	0.0524687 	6.500000	2.8621e-05	
7.000000	0.0503763 	7.000000	0.0496019 	7.000000	0.0499427 	7.000000	0.0499427 	7.000000	0.0495751 	7.000000	2.67834e-05	
