Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.206423  	0.001000	0.0382708 	0.001000	0.0395905 	0.001000	0.0395905 	0.001000	0.0346328 	0.001000	0.003638  	
0.002000	0.24593   	0.002000	0.0507398 	0.002000	0.0525425 	0.002000	0.0525425 	0.002000	0.0473098 	0.002000	0.00343003	
0.005000	0.32298   	0.005000	0.0741988 	0.005000	0.0769215 	0.005000	0.0769215 	0.005000	0.0714535 	0.005000	0.00274529	
0.008000	0.375814  	0.008000	0.0905796 	0.008000	0.0939435 	0.008000	0.0939435 	0.008000	0.0882831 	0.008000	0.00229645	
0.010000	0.40462   	0.010000	0.0996887 	0.010000	0.103408  	0.010000	0.103408  	0.010000	0.0976084 	0.010000	0.00208029	
0.015000	0.488016  	0.015000	0.117497  	0.015000	0.123312  	0.015000	0.123312  	0.015000	0.115795  	0.015000	0.00170199	
0.020000	0.556346  	0.020000	0.132118  	0.020000	0.139872  	0.020000	0.139872  	0.020000	0.130664  	0.020000	0.00145417	
0.025000	0.612858  	0.025000	0.144443  	0.025000	0.154316  	0.025000	0.154316  	0.025000	0.143166  	0.025000	0.00127726	
0.030000	0.659287  	0.030000	0.15496   	0.030000	0.163144  	0.030000	0.163144  	0.030000	0.153816  	0.030000	0.0011436 	
0.035000	0.696776  	0.035000	0.163981  	0.035000	0.17065   	0.035000	0.17065   	0.035000	0.162943  	0.035000	0.00103849	
0.040000	0.726226  	0.040000	0.171731  	0.040000	0.177057  	0.040000	0.177057  	0.040000	0.170777  	0.040000	0.000953322	
0.045000	0.748445  	0.045000	0.178379  	0.045000	0.18253   	0.045000	0.18253   	0.045000	0.177496  	0.045000	0.000882689	
0.050000	0.764212  	0.050000	0.184061  	0.050000	0.187196  	0.050000	0.187196  	0.050000	0.183238  	0.050000	0.000823018	
0.055000	0.774294  	0.055000	0.188892  	0.055000	0.191159  	0.055000	0.191159  	0.055000	0.188121  	0.055000	0.00077184	
0.060000	0.779447  	0.060000	0.192969  	0.060000	0.194504  	0.060000	0.194504  	0.060000	0.192242  	0.060000	0.000727391	
